Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2017,36853571000.0,11.672
China,CHN,2017,88771969000.0,28.116
"Hong Kong, China",HKG,2017,41189692000.0,13.046
Singapore,SGP,2017,17641086000.0,5.587
Malaysia,MYS,2017,10375579000.0,3.286
Japan,JPN,2017,20596669000.0,6.523
"Korea, Republic of",KOR,2017,14437095000.0,4.573
Mexico,MEX,2017,2287063000.0,0.724
Viet Nam,VNM,2017,10461131000.0,3.313
Thailand,THA,2017,6391318000.0,2.024
India,IND,2017,3284229000.0,1.04
Netherlands,NLD,2017,4973164000.0,1.575
Germany,DEU,2017,6436762000.0,2.039
Australia,AUS,2017,2935295000.0,0.93
Indonesia,IDN,2017,3197981000.0,1.013
Philippines,PHL,2017,9608960000.0,3.043
United Kingdom,GBR,2017,3759401000.0,1.191
Ireland,IRE,2017,195184000.0,0.062
Canada,CAN,2017,2205850000.0,0.699
Area Nes,ARE,2017,1172961000.0,0.372
Italy,ITA,2017,2029841000.0,0.643
Poland,POL,2017,890804000.0,0.282
Belgium,BEL,2017,1371810000.0,0.434
France,FRA,2017,1719485000.0,0.545
Czech Republic,CZE,2017,453088000.0,0.144
United Arab Emirates,ARE,2017,1337028000.0,0.423
Israel,ISR,2017,710199000.0,0.225
Spain,ESP,2017,1027242000.0,0.325
Finland,FIN,2017,257605000.0,0.082
Türkiye,TÜR,2017,1549883000.0,0.491
Brazil,BRA,2017,1265374000.0,0.401
Bangladesh,BAN,2017,996314000.0,0.316
Saudi Arabia,SAU,2017,1067652000.0,0.338
Hungary,HUN,2017,532942000.0,0.169
Sweden,SWE,2017,615031000.0,0.195
Cambodia,CAM,2017,650411000.0,0.206
Switzerland,CHE,2017,536542000.0,0.17
Portugal,POR,2017,443127000.0,0.14
Austria,AUT,2017,417914000.0,0.132
South Africa,ZAF,2017,626587000.0,0.198
New Zealand,NEW,2017,468676000.0,0.148
Russian Federation,RUS,2017,1090983000.0,0.346
Denmark,DNK,2017,354252000.0,0.112
Romania,ROM,2017,209738000.0,0.066
Pakistan,PAK,2017,518701000.0,0.164
Egypt,EGY,2017,362148000.0,0.115
Sri Lanka,SRI,2017,408382000.0,0.129
Iceland,ICE,2017,6482000.0,0.002
Oman,OMA,2017,120102000.0,0.038
Marshall Islands,MAR,2017,130322000.0,0.041
Colombia,COL,2017,323641000.0,0.103
Guatemala,GUA,2017,118795000.0,0.038
Argentina,ARG,2017,300722000.0,0.095
Norway,NOR,2017,173068000.0,0.055
Greece,GRE,2017,154000000.0,0.049
Peru,PER,2017,233284000.0,0.074
Jordan,JOR,2017,369796000.0,0.117
Chile,CHI,2017,241273000.0,0.076
Bulgaria,BUL,2017,110306000.0,0.035
Malta,MAL,2017,31914000.0,0.01
Kuwait,KUW,2017,138659000.0,0.044
Slovakia,SLO,2017,285071000.0,0.09
Slovenia,SLO,2017,156616000.0,0.05
Costa Rica,COS,2017,80407000.0,0.025
Dominican Republic,DOM,2017,124311000.0,0.039
