Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2006,32401019000.0,14.478
China,CHN,2006,51761144000.0,23.128
"Hong Kong, China",HKG,2006,37352812000.0,16.69
Singapore,SGP,2006,9264335000.0,4.14
Malaysia,MYS,2006,4937505000.0,2.206
Japan,JPN,2006,16283756000.0,7.276
"Korea, Republic of",KOR,2006,7145266000.0,3.193
Mexico,MEX,2006,1072826000.0,0.479
Viet Nam,VNM,2006,4862051000.0,2.172
Thailand,THA,2006,4571124000.0,2.043
India,IND,2006,1469909000.0,0.657
Netherlands,NLD,2006,4412555000.0,1.972
Germany,DEU,2006,4999488000.0,2.234
Australia,AUS,2006,2720614000.0,1.216
Indonesia,IDN,2006,2498853000.0,1.117
Philippines,PHL,2006,4479619000.0,2.002
United Kingdom,GBR,2006,3506536000.0,1.567
Ireland,IRE,2006,453214000.0,0.203
Canada,CAN,2006,1768645000.0,0.79
Area Nes,ARE,2006,2472975000.0,1.105
Italy,ITA,2006,2193612000.0,0.98
Poland,POL,2006,565331000.0,0.253
Belgium,BEL,2006,936613000.0,0.419
France,FRA,2006,1571735000.0,0.702
Czech Republic,CZE,2006,389994000.0,0.174
United Arab Emirates,ARE,2006,1122467000.0,0.502
Israel,ISR,2006,467293000.0,0.209
Spain,ESP,2006,1127564000.0,0.504
Finland,FIN,2006,704701000.0,0.315
Türkiye,TÜR,2006,1223086000.0,0.547
Brazil,BRA,2006,1281940000.0,0.573
Bangladesh,BAN,2006,498129000.0,0.223
Saudi Arabia,SAU,2006,529656000.0,0.237
Hungary,HUN,2006,568914000.0,0.254
Sweden,SWE,2006,500771000.0,0.224
Cambodia,CAM,2006,458598000.0,0.205
Switzerland,CHE,2006,336470000.0,0.15
Portugal,POR,2006,228068000.0,0.102
Austria,AUT,2006,458623000.0,0.205
South Africa,ZAF,2006,924848000.0,0.413
New Zealand,NEW,2006,383536000.0,0.171
Russian Federation,RUS,2006,603884000.0,0.27
Denmark,DNK,2006,581489000.0,0.26
Romania,ROM,2006,122141000.0,0.055
Pakistan,PAK,2006,377563000.0,0.169
Egypt,EGY,2006,445295000.0,0.199
Sri Lanka,SRI,2006,247671000.0,0.111
