Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2021,54847508.0,0.011
Egypt,EGY,2021,487665063.0,0.095
Libya,LBY,2021,13607646.0,0.003
Morocco,MAR,2021,129162261.0,0.025
Sudan,SDN,2021,8680678.0,0.002
Tunisia,TUN,2021,110257539.0,0.021
Burundi,BDI,2021,402206.0,0.000
Comoros,COM,2021,29543.0,0.000
Djibouti,DJI,2021,17050973.0,0.003
Eritrea,ERI,2021,16937.0,0.000
Ethiopia,ETH,2021,56265737.0,0.011
Kenya,KEN,2021,153749837.0,0.030
Madagascar,MDG,2021,28888158.0,0.006
Mozambique,MOZ,2021,14236984.0,0.003
Mauritius,MUS,2021,61326354.0,0.012
Malawi,MWI,2021,1850628.0,0.000
Rwanda,RWA,2021,343717.0,0.000
Somalia,SOM,2021,1594402.0,0.000
Seychelles,SYC,2021,8945607.0,0.002
Tanzania,TZA,2021,37540058.0,0.007
Uganda,UGA,2021,28847451.0,0.006
Angola,AGO,2021,11344152.0,0.002
Central African Republic,CAF,2021,78096.0,0.000
Cameroon,CMR,2021,20018230.0,0.004
Democratic Republic of the Congo,COD,2021,8661844.0,0.002
Republic of the Congo,COG,2021,575408.0,0.000
Gabon,GAB,2021,3203855.0,0.001
Equatorial Guinea,GNQ,2021,241628.0,0.000
Chad,TCD,2021,95606.0,0.000
Botswana,BWA,2021,2016634.0,0.000
Lesotho,LSO,2021,132769258.0,0.026
Namibia,NAM,2021,6734350.0,0.001
Eswatini,SWZ,2021,25251743.0,0.005
South Africa,ZAF,2021,761700633.0,0.148
Zambia,ZMB,2021,7499727.0,0.001
Zimbabwe,ZWE,2021,6061248.0,0.001
Benin,BEN,2021,4996846.0,0.001
Burkina Faso,BFA,2021,12515413.0,0.002
Cote d'Ivoire,CIV,2021,31834296.0,0.006
Cape Verde,CPV,2021,67715.0,0.000
Ghana,GHA,2021,37440635.0,0.007
Guinea,GIN,2021,16387605.0,0.003
Gambia,GMB,2021,1196309.0,0.000
GuineaBissau,GNB,2021,3294.0,0.000
Liberia,LBR,2021,5161562.0,0.001
Mali,MLI,2021,2385158.0,0.000
Mauritania,MRT,2021,2018837.0,0.000
Niger,NER,2021,1136224.0,0.000
Nigeria,NGA,2021,320252608.0,0.062
Senegal,SEN,2021,7856621.0,0.002
Sierra Leone,SLE,2021,3529296.0,0.001
Togo,TGO,2021,141344812.0,0.028
Kazakhstan,KAZ,2021,44628543.0,0.009
Kyrgyzstan,KGZ,2021,3277856.0,0.001
Tajikistan,TJK,2021,297739.0,0.000
Turkmenistan,TKM,2021,568087.0,0.000
Uzbekistan,UZB,2021,25925383.0,0.005
China,CHN,2021,130187522813.0,25.367
Hong Kong,HKG,2021,68138536087.0,13.277
Japan,JPN,2021,30759562218.0,5.993
South Korea,KOR,2021,22713932334.0,4.426
Macau,MAC,2021,140541617.0,0.027
Mongolia,MNG,2021,14334627.0,0.003
Brunei,BRN,2021,31901610.0,0.006
Indonesia,IDN,2021,4224723027.0,0.823
Cambodia,KHM,2021,954786965.0,0.186
Laos,LAO,2021,26165360.0,0.005
Burma,MMR,2021,203414794.0,0.040
Malaysia,MYS,2021,15012268161.0,2.925
Philippines,PHL,2021,6286482433.0,1.225
Singapore,SGP,2021,44165852136.0,8.606
Thailand,THA,2021,9546306170.0,1.860
TimorLeste,TLS,2021,41843673.0,0.008
Vietnam,VNM,2021,15901321151.0,3.098
Afghanistan,AFG,2021,384679.0,0.000
Bangladesh,BGD,2021,1219030972.0,0.238
Bhutan,BTN,2021,102551.0,0.000
India,IND,2021,5670623096.0,1.105
Iran,IRN,2021,185573580.0,0.036
Sri Lanka,LKA,2021,481900611.0,0.094
Maldives,MDV,2021,6420103.0,0.001
Nepal,NPL,2021,35543619.0,0.007
Pakistan,PAK,2021,773129370.0,0.151
United Arab Emirates,ARE,2021,1710681743.0,0.333
Armenia,ARM,2021,3130579.0,0.001
Azerbaijan,AZE,2021,20748615.0,0.004
Bahrain,BHR,2021,71141696.0,0.014
Georgia,GEO,2021,13628492.0,0.003
Iraq,IRQ,2021,168335008.0,0.033
Israel,ISR,2021,1106879518.0,0.216
Jordan,JOR,2021,337092608.0,0.066
Kuwait,KWT,2021,179663079.0,0.035
Lebanon,LBN,2021,36888650.0,0.007
Oman,OMN,2021,168374171.0,0.033
Palestine,PSE,2021,2465954.0,0.000
Qatar,QAT,2021,138480672.0,0.027
Saudi Arabia,SAU,2021,1196999548.0,0.233
Syria,SYR,2021,10402765.0,0.002
Turkey,TUR,2021,1798508813.0,0.350
Yemen,YEM,2021,12106307.0,0.002
Cyprus,CYP,2021,23118536.0,0.005
Bulgaria,BGR,2021,204960336.0,0.040
Belarus,BLR,2021,76773289.0,0.015
Czechia,CZE,2021,1218910675.0,0.238
Hungary,HUN,2021,961654117.0,0.187
Moldova,MDA,2021,23263170.0,0.005
Poland,POL,2021,1937863560.0,0.378
Romania,ROU,2021,311077809.0,0.061
Russia,RUS,2021,1975738138.0,0.385
Slovakia,SVK,2021,360144444.0,0.070
Ukraine,UKR,2021,262368953.0,0.051
Denmark,DNK,2021,615384866.0,0.120
