Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2010,31530264000.0,11.484
China,CHN,2010,76933214000.0,28.02
"Hong Kong, China",HKG,2010,37805334000.0,13.769
Singapore,SGP,2010,12102378000.0,4.408
Malaysia,MYS,2010,5946557000.0,2.166
Japan,JPN,2010,18016269000.0,6.562
"Korea, Republic of",KOR,2010,10679331000.0,3.89
Mexico,MEX,2010,1514852000.0,0.552
Viet Nam,VNM,2010,7531261000.0,2.743
Thailand,THA,2010,5289235000.0,1.926
India,IND,2010,3622676000.0,1.319
Netherlands,NLD,2010,5250307000.0,1.912
Germany,DEU,2010,6506111000.0,2.37
Australia,AUS,2010,3133802000.0,1.141
Indonesia,IDN,2010,4506786000.0,1.641
Philippines,PHL,2010,5983062000.0,2.179
United Kingdom,GBR,2010,3616095000.0,1.317
Ireland,IRE,2010,144595000.0,0.053
Canada,CAN,2010,1944859000.0,0.708
Area Nes,ARE,2010,2648465000.0,0.965
Italy,ITA,2010,2441308000.0,0.889
Poland,POL,2010,899037000.0,0.327
Belgium,BEL,2010,975889000.0,0.355
France,FRA,2010,1703821000.0,0.621
Czech Republic,CZE,2010,590411000.0,0.215
United Arab Emirates,ARE,2010,1485963000.0,0.541
Israel,ISR,2010,531212000.0,0.193
Spain,ESP,2010,1371315000.0,0.499
Finland,FIN,2010,633172000.0,0.231
Türkiye,TÜR,2010,1441287000.0,0.525
Brazil,BRA,2010,1910042000.0,0.696
Bangladesh,BAN,2010,757500000.0,0.276
Saudi Arabia,SAU,2010,1002409000.0,0.365
Hungary,HUN,2010,390268000.0,0.142
Sweden,SWE,2010,600836000.0,0.219
Cambodia,CAM,2010,467428000.0,0.17
Switzerland,CHE,2010,391663000.0,0.143
Portugal,POR,2010,282142000.0,0.103
Austria,AUT,2010,345161000.0,0.126
South Africa,ZAF,2010,789223000.0,0.287
New Zealand,NEW,2010,474130000.0,0.173
Russian Federation,RUS,2010,1081106000.0,0.394
Denmark,DNK,2010,341641000.0,0.124
Romania,ROM,2010,102045000.0,0.037
Pakistan,PAK,2010,387775000.0,0.141
Egypt,EGY,2010,448088000.0,0.163
Sri Lanka,SRI,2010,230259000.0,0.084
Iceland,ICE,2010,6008000.0,0.002
Oman,OMA,2010,95845000.0,0.035
Marshall Islands,MAR,2010,46377000.0,0.017
Colombia,COL,2010,283080000.0,0.103
Guatemala,GUA,2010,81628000.0,0.03
Argentina,ARG,2010,332879000.0,0.121
Norway,NOR,2010,391746000.0,0.143
Greece,GRE,2010,169806000.0,0.062
Peru,PER,2010,251780000.0,0.092
Jordan,JOR,2010,193768000.0,0.071
Chile,CHI,2010,323015000.0,0.118
Bulgaria,BUL,2010,105748000.0,0.039
Malta,MAL,2010,41735000.0,0.015
Kuwait,KUW,2010,142183000.0,0.052
Slovakia,SLO,2010,257890000.0,0.094
Slovenia,SLO,2010,101001000.0,0.037
Costa Rica,COS,2010,102260000.0,0.037
Dominican Republic,DOM,2010,97901000.0,0.036
Ecuador,ECU,2010,170146000.0,0.062
"Macao, China",MAC,2010,300755000.0,0.11
Lithuania,LIT,2010,114738000.0,0.042
Myanmar,MYA,2010,107075000.0,0.039
Algeria,ALG,2010,57284000.0,0.021
Ukraine,UKR,2010,140727000.0,0.051
Nigeria,NIG,2010,223952000.0,0.082
Morocco,MOR,2010,59123000.0,0.022
Kenya,KEN,2010,73167000.0,0.027
Panama,PAN,2010,288478000.0,0.105
Latvia,LAT,2010,89809000.0,0.033
Qatar,QAT,2010,58327000.0,0.021
El Salvador,EL ,2010,78132000.0,0.028
Kazakhstan,KAZ,2010,46717000.0,0.017
Iraq,IRA,2010,14162000.0,0.005
Honduras,HON,2010,53431000.0,0.019
Mauritius,MAU,2010,50760000.0,0.018
Lebanon,LEB,2010,85575000.0,0.031
Estonia,EST,2010,115572000.0,0.042
Croatia,CRO,2010,61462000.0,0.022
Lao People's Democratic Republic,LAO,2010,3925000.0,0.001
Timor-Leste,TIM,2010,34000.0,0.0
Uruguay,URU,2010,116105000.0,0.042
Paraguay,PAR,2010,55794000.0,0.02
Luxembourg,LUX,2010,43631000.0,0.016
"Iran, Islamic Republic of",IRA,2010,810285000.0,0.295
Papua New Guinea,PAP,2010,111610000.0,0.041
Fiji,FIJ,2010,41712000.0,0.015
United States Minor Outlying Islands,UNI,2010,40615000.0,0.015
Bahrain,BAH,2010,34337000.0,0.013
Tunisia,TUN,2010,88203000.0,0.032
Ghana,GHA,2010,38676000.0,0.014
American Samoa,AME,2010,0.0,0.0
Côte d'Ivoire,CÔT,2010,19200000.0,0.007
Serbia,SER,2010,8140000.0,0.003
"Tanzania, United Republic of",TAN,2010,22094000.0,0.008
Solomon Islands,SOL,2010,2420000.0,0.001
Trinidad and Tobago,TRI,2010,48139000.0,0.018
Haiti,HAI,2010,7631000.0,0.003
Georgia,GEO,2010,7440000.0,0.003
"Micronesia, Federated States of",MIC,2010,5325000.0,0.002
"Libya, State of",LIB,2010,31987000.0,0.012
Madagascar,MAD,2010,9818000.0,0.004
Cyprus,CYP,2010,45974000.0,0.017
Ethiopia,ETH,2010,4208000.0,0.002
Uzbekistan,UZB,2010,6033000.0,0.002
Nicaragua,NIC,2010,33752000.0,0.012
Brunei Darussalam,BRU,2010,25559000.0,0.009
Palau,PAL,2010,18895000.0,0.007
Guinea,GUI,2010,11878000.0,0.004
Djibouti,DJI,2010,16998000.0,0.006
Lesotho,LES,2010,56328000.0,0.021
Kyrgyzstan,KYR,2010,809000.0,0.0
"Venezuela, Bolivarian Republic of",VEN,2010,131610000.0,0.048
Vanuatu,VAN,2010,580000.0,0.0
"Macedonia, North",MAC,2010,3841000.0,0.001
Senegal,SEN,2010,9583000.0,0.003
Samoa,SAM,2010,5960000.0,0.002
Belarus,BEL,2010,17561000.0,0.006
Angola,ANG,2010,14356000.0,0.005
"Congo, Democratic Republic of the",CON,2010,8102000.0,0.003
Kiribati,KIR,2010,765000.0,0.0
Jamaica,JAM,2010,15738000.0,0.006
Mozambique,MOZ,2010,11057000.0,0.004
Mongolia,MON,2010,2761000.0,0.001
Maldives,MAL,2010,3717000.0,0.001
Albania,ALB,2010,4868000.0,0.002
Togo,TOG,2010,9012000.0,0.003
Liberia,LIB,2010,67055000.0,0.024
Azerbaijan,AZE,2010,6414000.0,0.002
Yemen,YEM,2010,95122000.0,0.035
Eswatini,ESW,2010,12746000.0,0.005
French Polynesia,FRE,2010,5379000.0,0.002
Armenia,ARM,2010,1255000.0,0.0
Syrian Arab Republic,SYR,2010,186648000.0,0.068
Suriname,SUR,2010,6678000.0,0.002
Belize,BEL,2010,5677000.0,0.002
Guyana,GUY,2010,5240000.0,0.002
Nepal,NEP,2010,7187000.0,0.003
"Moldova, Republic of",MOL,2010,3782000.0,0.001
Burkina Faso,BUR,2010,15815000.0,0.006
Cameroon,CAM,2010,5515000.0,0.002
Barbados,BAR,2010,3403000.0,0.001
Northern Mariana Islands,NOR,2010,4770000.0,0.002
Bosnia and Herzegovina,BOS,2010,1054000.0,0.0
Seychelles,SEY,2010,1901000.0,0.001
Sudan,SUD,2010,0.0,0.0
"Bolivia, Plurinational State of",BOL,2010,5596000.0,0.002
"Palestine, State of",PAL,2010,43000.0,0.0
Uganda,UGA,2010,2593000.0,0.001
Sierra Leone,SIE,2010,3662000.0,0.001
Zimbabwe,ZIM,2010,4041000.0,0.001
Benin,BEN,2010,10035000.0,0.004
New Caledonia,NEW,2010,6182000.0,0.002
Central African Republic,CEN,2010,25000.0,0.0
Congo,CON,2010,1134000.0,0.0
Somalia,SOM,2010,464000.0,0.0
Namibia,NAM,2010,1421000.0,0.001
Montenegro,MON,2010,1308000.0,0.0
Zambia,ZAM,2010,3406000.0,0.001
Tonga,TON,2010,685000.0,0.0
Bahamas,BAH,2010,256000.0,0.0
Gambia,GAM,2010,2158000.0,0.001
Mauritania,MAU,2010,1117000.0,0.0
Saint Lucia,SAI,2010,1808000.0,0.001
Saint Kitts and Nevis,SAI,2010,401000.0,0.0
Nauru,NAU,2010,175000.0,0.0
South Sudan,SOU,2010,0.0,0.0
Tuvalu,TUV,2010,2190000.0,0.001
Saint Vincent and the Grenadines,SAI,2010,1002000.0,0.0
Aruba,ARU,2010,563000.0,0.0
Bermuda,BER,2010,2126000.0,0.001
Malawi,MAL,2010,4014000.0,0.001
Faroe Islands,FAR,2010,358000.0,0.0
Botswana,BOT,2010,9572000.0,0.003
Cuba,CUB,2010,1659000.0,0.001
Tajikistan,TAJ,2010,108000.0,0.0
Gabon,GAB,2010,1800000.0,0.001
Chad,CHA,2010,72000.0,0.0
Turkmenistan,TUR,2010,381000.0,0.0
Rwanda,RWA,2010,50000.0,0.0
Antigua and Barbuda,ANT,2010,229000.0,0.0
Cayman Islands,CAY,2010,835000.0,0.0
Grenada,GRE,2010,614000.0,0.0
British Virgin Islands,BRI,2010,10675000.0,0.004
Curaçao,CUR,2010,0.0,0.0
Mali,MAL,2010,477000.0,0.0
Turks and Caicos Islands,TUR,2010,3000.0,0.0
Falkland Islands (Malvinas),FAL,2010,79000.0,0.0
Afghanistan,AFG,2010,847000.0,0.0
Andorra,AND,2010,149000.0,0.0
Cabo Verde,CAB,2010,527000.0,0.0
Dominica,DOM,2010,1579000.0,0.001
Eritrea,ERI,2010,276000.0,0.0
Sint Maarten (Dutch part),SIN,2010,0.0,0.0
Cook Islands,COO,2010,7000.0,0.0
Equatorial Guinea,EQU,2010,93000.0,0.0
Bhutan,BHU,2010,39000.0,0.0
Wallis and Futuna Islands,WAL,2010,5000.0,0.0
Niger,NIG,2010,121000.0,0.0
Burundi,BUR,2010,42000.0,0.0
Sao Tome and Principe,SAO,2010,631000.0,0.0
Gibraltar,GIB,2010,84000.0,0.0
Guinea-Bissau,GUI,2010,14000.0,0.0
Anguilla,ANG,2010,163000.0,0.0
"Bonaire, Sint Eustatius and Saba",BON,2010,0.0,0.0
Greenland,GRE,2010,63000.0,0.0
Christmas Island,CHR,2010,10000.0,0.0
Montserrat,MON,2010,25000.0,0.0
Cocos (Keeling) Islands,COC,2010,1000.0,0.0
French Southern and Antarctic Territories,FRE,2010,1360000.0,0.0
Niue,NIU,2010,0.0,0.0
Pitcairn,PIT,2010,0.0,0.0
British Indian Ocean Territory,BRI,2010,6000.0,0.0
"Korea, Democratic People's Republic of",KOR,2010,13388000.0,0.005
Norfolk Island,NOR,2010,928000.0,0.0
Saint Helena,SAI,2010,0.0,0.0
Saint Pierre and Miquelon,SAI,2010,1000.0,0.0
Tokelau,TOK,2010,7000.0,0.0
Comoros,COM,2010,30000.0,0.0
Netherlands Antilles,NET,2010,2149000.0,0.001
Sudan (before 2012),SUD,2010,20731000.0,0.008
