Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2014,34862224000.0,11.132
China,CHN,2014,81977767000.0,26.178
"Hong Kong, China",HKG,2014,42467573000.0,13.561
Singapore,SGP,2014,20498676000.0,6.546
Malaysia,MYS,2014,8598217000.0,2.746
Japan,JPN,2014,19864703000.0,6.343
"Korea, Republic of",KOR,2014,12663143000.0,4.044
Mexico,MEX,2014,1980110000.0,0.632
Viet Nam,VNM,2014,9962747000.0,3.181
Thailand,THA,2014,6090272000.0,1.945
India,IND,2014,3417365000.0,1.091
Netherlands,NLD,2014,4917095000.0,1.57
Germany,DEU,2014,6134491000.0,1.959
Australia,AUS,2014,3548239000.0,1.133
Indonesia,IDN,2014,3828157000.0,1.222
Philippines,PHL,2014,9509895000.0,3.037
United Kingdom,GBR,2014,4190251000.0,1.338
Ireland,IRE,2014,221047000.0,0.071
Canada,CAN,2014,2438763000.0,0.779
Area Nes,ARE,2014,3321051000.0,1.06
Italy,ITA,2014,1882497000.0,0.601
Poland,POL,2014,869926000.0,0.278
Belgium,BEL,2014,1259088000.0,0.402
France,FRA,2014,1531805000.0,0.489
Czech Republic,CZE,2014,418194000.0,0.134
United Arab Emirates,ARE,2014,1635533000.0,0.522
Israel,ISR,2014,623167000.0,0.199
Spain,ESP,2014,983209000.0,0.314
Finland,FIN,2014,630196000.0,0.201
Türkiye,TÜR,2014,1696877000.0,0.542
Brazil,BRA,2014,1666313000.0,0.532
Bangladesh,BAN,2014,1067141000.0,0.341
Saudi Arabia,SAU,2014,2021888000.0,0.646
Hungary,HUN,2014,459845000.0,0.147
Sweden,SWE,2014,633476000.0,0.202
Cambodia,CAM,2014,689092000.0,0.22
Switzerland,CHE,2014,458843000.0,0.147
Portugal,POR,2014,235512000.0,0.075
Austria,AUT,2014,309282000.0,0.099
South Africa,ZAF,2014,763275000.0,0.244
New Zealand,NEW,2014,457910000.0,0.146
Russian Federation,RUS,2014,1310801000.0,0.419
Denmark,DNK,2014,387628000.0,0.124
Romania,ROM,2014,130523000.0,0.042
Pakistan,PAK,2014,456770000.0,0.146
Egypt,EGY,2014,761767000.0,0.243
Sri Lanka,SRI,2014,414166000.0,0.132
Iceland,ICE,2014,9243000.0,0.003
Oman,OMA,2014,154930000.0,0.049
Marshall Islands,MAR,2014,13906000.0,0.004
Colombia,COL,2014,484068000.0,0.155
Guatemala,GUA,2014,108987000.0,0.035
Argentina,ARG,2014,348135000.0,0.111
Norway,NOR,2014,244047000.0,0.078
Greece,GRE,2014,142802000.0,0.046
Peru,PER,2014,281659000.0,0.09
Jordan,JOR,2014,320451000.0,0.102
Chile,CHI,2014,324755000.0,0.104
Bulgaria,BUL,2014,129943000.0,0.041
Malta,MAL,2014,28777000.0,0.009
Kuwait,KUW,2014,207866000.0,0.066
Slovakia,SLO,2014,323422000.0,0.103
Slovenia,SLO,2014,151536000.0,0.048
Costa Rica,COS,2014,141148000.0,0.045
Dominican Republic,DOM,2014,116292000.0,0.037
Ecuador,ECU,2014,205632000.0,0.066
"Macao, China",MAC,2014,143544000.0,0.046
Lithuania,LIT,2014,134841000.0,0.043
Myanmar,MYA,2014,224746000.0,0.072
Algeria,ALG,2014,72550000.0,0.023
Ukraine,UKR,2014,130087000.0,0.042
Nigeria,NIG,2014,214771000.0,0.069
Morocco,MOR,2014,58978000.0,0.019
Kenya,KEN,2014,117602000.0,0.038
Panama,PAN,2014,227813000.0,0.073
Latvia,LAT,2014,147486000.0,0.047
Qatar,QAT,2014,120399000.0,0.038
El Salvador,EL ,2014,105103000.0,0.034
Kazakhstan,KAZ,2014,65577000.0,0.021
Iraq,IRA,2014,52981000.0,0.017
Honduras,HON,2014,74309000.0,0.024
Mauritius,MAU,2014,120428000.0,0.038
Lebanon,LEB,2014,94115000.0,0.03
Estonia,EST,2014,130582000.0,0.042
Croatia,CRO,2014,45801000.0,0.015
Lao People's Democratic Republic,LAO,2014,3674000.0,0.001
Timor-Leste,TIM,2014,5429000.0,0.002
Uruguay,URU,2014,111932000.0,0.036
Paraguay,PAR,2014,53430000.0,0.017
Luxembourg,LUX,2014,18761000.0,0.006
"Iran, Islamic Republic of",IRA,2014,907165000.0,0.29
Papua New Guinea,PAP,2014,254827000.0,0.081
Fiji,FIJ,2014,87475000.0,0.028
United States Minor Outlying Islands,UNI,2014,53060000.0,0.017
Bahrain,BAH,2014,69875000.0,0.022
Tunisia,TUN,2014,67470000.0,0.022
Ghana,GHA,2014,36759000.0,0.012
American Samoa,AME,2014,0.0,0.0
Côte d'Ivoire,CÔT,2014,30748000.0,0.01
Serbia,SER,2014,9550000.0,0.003
"Tanzania, United Republic of",TAN,2014,109729000.0,0.035
Solomon Islands,SOL,2014,5832000.0,0.002
Trinidad and Tobago,TRI,2014,37581000.0,0.012
Haiti,HAI,2014,24521000.0,0.008
Georgia,GEO,2014,13981000.0,0.004
"Micronesia, Federated States of",MIC,2014,9413000.0,0.003
"Libya, State of",LIB,2014,37631000.0,0.012
Madagascar,MAD,2014,13285000.0,0.004
Cyprus,CYP,2014,21575000.0,0.007
Ethiopia,ETH,2014,25759000.0,0.008
Uzbekistan,UZB,2014,9189000.0,0.003
Nicaragua,NIC,2014,48144000.0,0.015
Brunei Darussalam,BRU,2014,25483000.0,0.008
Palau,PAL,2014,15195000.0,0.005
Guinea,GUI,2014,5835000.0,0.002
Djibouti,DJI,2014,37176000.0,0.012
Lesotho,LES,2014,64205000.0,0.021
Kyrgyzstan,KYR,2014,3011000.0,0.001
"Venezuela, Bolivarian Republic of",VEN,2014,94995000.0,0.03
Vanuatu,VAN,2014,1540000.0,0.0
"Macedonia, North",MAC,2014,8562000.0,0.003
Senegal,SEN,2014,6020000.0,0.002
Samoa,SAM,2014,3893000.0,0.001
Belarus,BEL,2014,23859000.0,0.008
Angola,ANG,2014,21442000.0,0.007
"Congo, Democratic Republic of the",CON,2014,7182000.0,0.002
Kiribati,KIR,2014,2448000.0,0.001
Jamaica,JAM,2014,11358000.0,0.004
Mozambique,MOZ,2014,101493000.0,0.032
Mongolia,MON,2014,7821000.0,0.002
Maldives,MAL,2014,4125000.0,0.001
Albania,ALB,2014,13717000.0,0.004
Togo,TOG,2014,9899000.0,0.003
Liberia,LIB,2014,1663000.0,0.001
Azerbaijan,AZE,2014,6279000.0,0.002
Yemen,YEM,2014,89122000.0,0.028
Eswatini,ESW,2014,9488000.0,0.003
French Polynesia,FRE,2014,9797000.0,0.003
Armenia,ARM,2014,6052000.0,0.002
Syrian Arab Republic,SYR,2014,41561000.0,0.013
Suriname,SUR,2014,7657000.0,0.002
Belize,BEL,2014,4110000.0,0.001
Guyana,GUY,2014,4153000.0,0.001
Nepal,NEP,2014,8325000.0,0.003
"Moldova, Republic of",MOL,2014,6318000.0,0.002
Burkina Faso,BUR,2014,4142000.0,0.001
Cameroon,CAM,2014,7840000.0,0.003
Barbados,BAR,2014,3498000.0,0.001
Northern Mariana Islands,NOR,2014,4355000.0,0.001
Bosnia and Herzegovina,BOS,2014,1961000.0,0.001
Seychelles,SEY,2014,4334000.0,0.001
Sudan,SUD,2014,27052000.0,0.009
"Bolivia, Plurinational State of",BOL,2014,9124000.0,0.003
"Palestine, State of",PAL,2014,213000.0,0.0
Uganda,UGA,2014,2591000.0,0.001
Sierra Leone,SIE,2014,6074000.0,0.002
Zimbabwe,ZIM,2014,3341000.0,0.001
Benin,BEN,2014,4556000.0,0.001
New Caledonia,NEW,2014,8443000.0,0.003
Central African Republic,CEN,2014,21000.0,0.0
Congo,CON,2014,1794000.0,0.001
Somalia,SOM,2014,1428000.0,0.0
Namibia,NAM,2014,9443000.0,0.003
Montenegro,MON,2014,3257000.0,0.001
Zambia,ZAM,2014,2875000.0,0.001
Tonga,TON,2014,1920000.0,0.001
Bahamas,BAH,2014,649000.0,0.0
Gambia,GAM,2014,754000.0,0.0
Mauritania,MAU,2014,2398000.0,0.001
Saint Lucia,SAI,2014,864000.0,0.0
Saint Kitts and Nevis,SAI,2014,5215000.0,0.002
Nauru,NAU,2014,9762000.0,0.003
South Sudan,SOU,2014,0.0,0.0
Tuvalu,TUV,2014,44000.0,0.0
Saint Vincent and the Grenadines,SAI,2014,236000.0,0.0
Aruba,ARU,2014,802000.0,0.0
Bermuda,BER,2014,1165000.0,0.0
Malawi,MAL,2014,3841000.0,0.001
Faroe Islands,FAR,2014,624000.0,0.0
Botswana,BOT,2014,4230000.0,0.001
Cuba,CUB,2014,4748000.0,0.002
Tajikistan,TAJ,2014,637000.0,0.0
Gabon,GAB,2014,1568000.0,0.001
Chad,CHA,2014,413000.0,0.0
Turkmenistan,TUR,2014,2194000.0,0.001
Rwanda,RWA,2014,626000.0,0.0
Antigua and Barbuda,ANT,2014,278000.0,0.0
Cayman Islands,CAY,2014,348000.0,0.0
Grenada,GRE,2014,355000.0,0.0
British Virgin Islands,BRI,2014,1364000.0,0.0
Curaçao,CUR,2014,2049000.0,0.001
Mali,MAL,2014,311000.0,0.0
Turks and Caicos Islands,TUR,2014,0.0,0.0
Falkland Islands (Malvinas),FAL,2014,2000.0,0.0
Afghanistan,AFG,2014,749000.0,0.0
Andorra,AND,2014,112000.0,0.0
Cabo Verde,CAB,2014,73000.0,0.0
Dominica,DOM,2014,395000.0,0.0
Eritrea,ERI,2014,90000.0,0.0
Sint Maarten (Dutch part),SIN,2014,0.0,0.0
Cook Islands,COO,2014,79000.0,0.0
Equatorial Guinea,EQU,2014,373000.0,0.0
Bhutan,BHU,2014,738000.0,0.0
Wallis and Futuna Islands,WAL,2014,1000.0,0.0
Niger,NIG,2014,1274000.0,0.0
Burundi,BUR,2014,245000.0,0.0
Sao Tome and Principe,SAO,2014,439000.0,0.0
Gibraltar,GIB,2014,80000.0,0.0
Guinea-Bissau,GUI,2014,485000.0,0.0
Anguilla,ANG,2014,92000.0,0.0
"Bonaire, Sint Eustatius and Saba",BON,2014,0.0,0.0
Greenland,GRE,2014,40000.0,0.0
Christmas Island,CHR,2014,0.0,0.0
Montserrat,MON,2014,78000.0,0.0
Cocos (Keeling) Islands,COC,2014,29000.0,0.0
French Southern and Antarctic Territories,FRE,2014,325000.0,0.0
Niue,NIU,2014,0.0,0.0
Pitcairn,PIT,2014,0.0,0.0
British Indian Ocean Territory,BRI,2014,0.0,0.0
"Korea, Democratic People's Republic of",KOR,2014,3601000.0,0.001
Norfolk Island,NOR,2014,240000.0,0.0
Saint Helena,SAI,2014,0.0,0.0
Saint Pierre and Miquelon,SAI,2014,0.0,0.0
Tokelau,TOK,2014,0.0,0.0
Comoros,COM,2014,80000.0,0.0
Netherlands Antilles,NET,2014,0.0,0.0
Sudan (before 2012),SUD,2014,0.0,0.0
