Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2019,89863090.0,0.024
Egypt,EGY,2019,390396107.0,0.105
Libya,LBY,2019,51868561.0,0.014
Morocco,MAR,2019,109305735.0,0.029
Sudan,SDN,2019,12582587.0,0.003
Tunisia,TUN,2019,131135442.0,0.035
Burundi,BDI,2019,127174.0,0.000
Comoros,COM,2019,754.0,0.000
Djibouti,DJI,2019,33003088.0,0.009
Eritrea,ERI,2019,151458.0,0.000
Ethiopia,ETH,2019,79759285.0,0.021
Kenya,KEN,2019,153255437.0,0.041
Madagascar,MDG,2019,41801400.0,0.011
Mozambique,MOZ,2019,23718642.0,0.006
Mauritius,MUS,2019,98991669.0,0.027
Malawi,MWI,2019,5681342.0,0.002
Rwanda,RWA,2019,486052.0,0.000
Somalia,SOM,2019,456511.0,0.000
Seychelles,SYC,2019,8150832.0,0.002
Tanzania,TZA,2019,33889111.0,0.009
Uganda,UGA,2019,24076084.0,0.006
Angola,AGO,2019,9632267.0,0.003
Central African Republic,CAF,2019,25076.0,0.000
Cameroon,CMR,2019,41418250.0,0.011
Democratic Republic of the Congo,COD,2019,7947885.0,0.002
Republic of the Congo,COG,2019,946589.0,0.000
Gabon,GAB,2019,809487.0,0.000
Equatorial Guinea,GNQ,2019,80470.0,0.000
Sao Tome and Principe,STP,2019,18184.0,0.000
Chad,TCD,2019,140717.0,0.000
Botswana,BWA,2019,1768035.0,0.000
Lesotho,LSO,2019,63521939.0,0.017
Namibia,NAM,2019,4417966.0,0.001
Eswatini,SWZ,2019,16766000.0,0.005
South Africa,ZAF,2019,736416419.0,0.198
Zambia,ZMB,2019,10730137.0,0.003
Zimbabwe,ZWE,2019,3935025.0,0.001
Benin,BEN,2019,1626400.0,0.000
Burkina Faso,BFA,2019,10068018.0,0.003
Cote d'Ivoire,CIV,2019,27142912.0,0.007
Cape Verde,CPV,2019,66797.0,0.000
Ghana,GHA,2019,33288979.0,0.009
Guinea,GIN,2019,10015239.0,0.003
Gambia,GMB,2019,599136.0,0.000
Liberia,LBR,2019,1814621.0,0.000
Mali,MLI,2019,3989675.0,0.001
Mauritania,MRT,2019,1669055.0,0.000
Niger,NER,2019,1027186.0,0.000
Nigeria,NGA,2019,234210335.0,0.063
Senegal,SEN,2019,7465476.0,0.002
Sierra Leone,SLE,2019,3374382.0,0.001
Togo,TGO,2019,62539006.0,0.017
Kazakhstan,KAZ,2019,52714904.0,0.014
Kyrgyzstan,KGZ,2019,3649788.0,0.001
Tajikistan,TJK,2019,280429.0,0.000
Turkmenistan,TKM,2019,315407.0,0.000
Uzbekistan,UZB,2019,18781692.0,0.005
China,CHN,2019,95406256468.0,25.618
Hong Kong,HKG,2019,42373551279.0,11.378
Japan,JPN,2019,24591907654.0,6.603
South Korea,KOR,2019,15724699100.0,4.222
Macau,MAC,2019,122226502.0,0.033
Mongolia,MNG,2019,11624641.0,0.003
Brunei,BRN,2019,21027081.0,0.006
Indonesia,IDN,2019,3756878146.0,1.009
Cambodia,KHM,2019,816626339.0,0.219
Laos,LAO,2019,22992792.0,0.006
Burma,MMR,2019,275417090.0,0.074
Malaysia,MYS,2019,11358486402.0,3.050
Philippines,PHL,2019,6399081492.0,1.718
Singapore,SGP,2019,28799561347.0,7.733
Thailand,THA,2019,7448914378.0,2.000
TimorLeste,TLS,2019,17392133.0,0.005
Vietnam,VNM,2019,13410308694.0,3.601
Afghanistan,AFG,2019,1237522.0,0.000
Bangladesh,BGD,2019,1164899658.0,0.313
Bhutan,BTN,2019,444408.0,0.000
India,IND,2019,4237737513.0,1.138
Iran,IRN,2019,199437128.0,0.054
Sri Lanka,LKA,2019,424615897.0,0.114
Maldives,MDV,2019,8653884.0,0.002
Nepal,NPL,2019,32283380.0,0.009
Pakistan,PAK,2019,700666088.0,0.188
United Arab Emirates,ARE,2019,1746525296.0,0.469
Armenia,ARM,2019,5770765.0,0.002
Azerbaijan,AZE,2019,18497322.0,0.005
Bahrain,BHR,2019,61227654.0,0.016
Georgia,GEO,2019,16663593.0,0.004
Iraq,IRQ,2019,55857412.0,0.015
Israel,ISR,2019,992934745.0,0.267
Jordan,JOR,2019,279221670.0,0.075
Kuwait,KWT,2019,209751039.0,0.056
Lebanon,LBN,2019,76772310.0,0.021
Oman,OMN,2019,89122732.0,0.024
Palestine,PSE,2019,642559.0,0.000
Qatar,QAT,2019,99661696.0,0.027
Saudi Arabia,SAU,2019,912647544.0,0.245
Syria,SYR,2019,43006778.0,0.012
Turkey,TUR,2019,1253544329.0,0.337
Yemen,YEM,2019,18115617.0,0.005
Cyprus,CYP,2019,27327868.0,0.007
Bulgaria,BGR,2019,119109730.0,0.032
Belarus,BLR,2019,86753552.0,0.023
Czechia,CZE,2019,977648927.0,0.263
Hungary,HUN,2019,681552519.0,0.183
Moldova,MDA,2019,12209468.0,0.003
Poland,POL,2019,1325213337.0,0.356
Romania,ROU,2019,245197412.0,0.066
Russia,RUS,2019,1704128939.0,0.458
Slovakia,SVK,2019,351624346.0,0.094
Ukraine,UKR,2019,143619108.0,0.039
Denmark,DNK,2019,410459426.0,0.110
Estonia,EST,2019,114375242.0,0.031
Finland,FIN,2019,361591056.0,0.097
United Kingdom,GBR,2019,4549157189.0,1.222
Ireland,IRL,2019,489898587.0,0.132
Iceland,ISL,2019,56646593.0,0.015
Lithuania,LTU,2019,93288433.0,0.025
Latvia,LVA,2019,94815017.0,0.025
Norway,NOR,2019,511770709.0,0.137
Sweden,SWE,2019,750653456.0,0.202
Albania,ALB,2019,5335432.0,0.001
Andorra,AND,2019,5093845.0,0.001
Bosnia and Herzegovina,BIH,2019,25260931.0,0.007
Spain,ESP,2019,1473190976.0,0.396
Gibraltar,GIB,2019,15791.0,0.000
Greece,GRC,2019,140283888.0,0.038
Croatia,HRV,2019,52924537.0,0.014
Italy,ITA,2019,2274367053.0,0.611
North Macedonia,MKD,2019,25758786.0,0.007
Malta,MLT,2019,30820578.0,0.008
Montenegro,MNE,2019,10882534.0,0.003
