Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2023,77514594.0,0.016
Egypt,EGY,2023,434740972.0,0.092
Libya,LBY,2023,29043975.0,0.006
Morocco,MAR,2023,135285332.0,0.029
Sudan,SDN,2023,5162153.0,0.001
Tunisia,TUN,2023,95517079.0,0.020
Burundi,BDI,2023,464129.0,0.000
Comoros,COM,2023,2686.0,0.000
Djibouti,DJI,2023,14026689.0,0.003
Eritrea,ERI,2023,30614.0,0.000
Ethiopia,ETH,2023,26290137.0,0.006
Kenya,KEN,2023,89837198.0,0.019
Madagascar,MDG,2023,27608576.0,0.006
Mozambique,MOZ,2023,22814750.0,0.005
Mauritius,MUS,2023,54071947.0,0.011
Malawi,MWI,2023,1658237.0,0.000
Rwanda,RWA,2023,313324.0,0.000
Somalia,SOM,2023,1654702.0,0.000
Seychelles,SYC,2023,9668134.0,0.002
Tanzania,TZA,2023,31888381.0,0.007
Uganda,UGA,2023,15484710.0,0.003
Angola,AGO,2023,44902398.0,0.010
Central African Republic,CAF,2023,1107006.0,0.000
Cameroon,CMR,2023,16756571.0,0.004
Democratic Republic of the Congo,COD,2023,9948179.0,0.002
Republic of the Congo,COG,2023,1852003.0,0.000
Gabon,GAB,2023,23508111.0,0.005
Equatorial Guinea,GNQ,2023,200707.0,0.000
Sao Tome and Principe,STP,2023,3905.0,0.000
Chad,TCD,2023,428278.0,0.000
Botswana,BWA,2023,4706642.0,0.001
Lesotho,LSO,2023,54956129.0,0.012
Namibia,NAM,2023,7880581.0,0.002
Eswatini,SWZ,2023,10109506.0,0.002
South Africa,ZAF,2023,706381815.0,0.150
Zambia,ZMB,2023,9531651.0,0.002
Zimbabwe,ZWE,2023,5323447.0,0.001
Benin,BEN,2023,34010891.0,0.007
Burkina Faso,BFA,2023,7158840.0,0.002
Cote d'Ivoire,CIV,2023,33667612.0,0.007
Cape Verde,CPV,2023,37848523.0,0.008
Ghana,GHA,2023,36824231.0,0.008
Guinea,GIN,2023,8853031.0,0.002
Gambia,GMB,2023,897817.0,0.000
GuineaBissau,GNB,2023,1667.0,0.000
Liberia,LBR,2023,1664572.0,0.000
Mali,MLI,2023,1045145.0,0.000
Mauritania,MRT,2023,1157884.0,0.000
Niger,NER,2023,149142.0,0.000
Nigeria,NGA,2023,266088037.0,0.056
Senegal,SEN,2023,12377161.0,0.003
Sierra Leone,SLE,2023,3864498.0,0.001
Togo,TGO,2023,189552796.0,0.040
Kazakhstan,KAZ,2023,160669927.0,0.034
Kyrgyzstan,KGZ,2023,22480367.0,0.005
Tajikistan,TJK,2023,104056.0,0.000
Turkmenistan,TKM,2023,223531.0,0.000
Uzbekistan,UZB,2023,32677881.0,0.007
China,CHN,2023,102177089712.0,21.643
Hong Kong,HKG,2023,48778540240.0,10.332
Japan,JPN,2023,32552841555.0,6.895
South Korea,KOR,2023,23312393831.0,4.938
Macau,MAC,2023,142773629.0,0.030
Mongolia,MNG,2023,16616170.0,0.004
Brunei,BRN,2023,19373118.0,0.004
Indonesia,IDN,2023,3805120810.0,0.806
Cambodia,KHM,2023,641711161.0,0.136
Laos,LAO,2023,19315460.0,0.004
Burma,MMR,2023,158874800.0,0.034
Malaysia,MYS,2023,11888260909.0,2.518
Philippines,PHL,2023,5046996064.0,1.069
Singapore,SGP,2023,43636530007.0,9.243
Thailand,THA,2023,10807071027.0,2.289
TimorLeste,TLS,2023,74147036.0,0.016
Vietnam,VNM,2023,14938304522.0,3.164
Afghanistan,AFG,2023,163008.0,0.000
Bangladesh,BGD,2023,950249000.0,0.201
Bhutan,BTN,2023,65892.0,0.000
India,IND,2023,7915898401.0,1.677
Iran,IRN,2023,61062210.0,0.013
Sri Lanka,LKA,2023,274858467.0,0.058
Maldives,MDV,2023,8302244.0,0.002
Nepal,NPL,2023,27780231.0,0.006
Pakistan,PAK,2023,388601955.0,0.082
United Arab Emirates,ARE,2023,2082289389.0,0.441
Armenia,ARM,2023,4643060.0,0.001
Azerbaijan,AZE,2023,25987047.0,0.006
Bahrain,BHR,2023,74120900.0,0.016
Georgia,GEO,2023,20107166.0,0.004
Iraq,IRQ,2023,149817897.0,0.032
Israel,ISR,2023,1298336715.0,0.275
Jordan,JOR,2023,266079573.0,0.056
Kuwait,KWT,2023,232380715.0,0.049
Lebanon,LBN,2023,53410827.0,0.011
Oman,OMN,2023,72237947.0,0.015
Palestine,PSE,2023,4737561.0,0.001
Qatar,QAT,2023,99985847.0,0.021
Saudi Arabia,SAU,2023,1361085624.0,0.288
Syria,SYR,2023,5843808.0,0.001
Turkey,TUR,2023,2080065485.0,0.441
Yemen,YEM,2023,8093067.0,0.002
Cyprus,CYP,2023,26916921.0,0.006
Bulgaria,BGR,2023,173922467.0,0.037
Belarus,BLR,2023,17232271.0,0.004
Czechia,CZE,2023,1185764022.0,0.251
Hungary,HUN,2023,831348279.0,0.176
Moldova,MDA,2023,22682898.0,0.005
Poland,POL,2023,2107580475.0,0.446
Romania,ROU,2023,449339065.0,0.095
Russia,RUS,2023,780377250.0,0.165
Slovakia,SVK,2023,489165891.0,0.104
Ukraine,UKR,2023,254702116.0,0.054
Denmark,DNK,2023,562233204.0,0.119
Estonia,EST,2023,104830225.0,0.022
Finland,FIN,2023,895573735.0,0.190
United Kingdom,GBR,2023,5349495008.0,1.133
Ireland,IRL,2023,1187808319.0,0.252
Iceland,ISL,2023,31710072.0,0.007
Lithuania,LTU,2023,97650123.0,0.021
Latvia,LVA,2023,116200833.0,0.025
Norway,NOR,2023,613453281.0,0.130
Sweden,SWE,2023,954642367.0,0.202
