Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2024,94335479.0,0.018
Egypt,EGY,2024,369679597.0,0.070
Libya,LBY,2024,15653863.0,0.003
Morocco,MAR,2024,159676055.0,0.030
Sudan,SDN,2024,1210789.0,0.000
Tunisia,TUN,2024,84294293.0,0.016
Burundi,BDI,2024,66757.0,0.000
Comoros,COM,2024,18099.0,0.000
Djibouti,DJI,2024,13649939.0,0.003
Eritrea,ERI,2024,896868.0,0.000
Ethiopia,ETH,2024,5109035.0,0.001
Kenya,KEN,2024,100490431.0,0.019
Madagascar,MDG,2024,26604075.0,0.005
Mozambique,MOZ,2024,12320710.0,0.002
Mauritius,MUS,2024,76002020.0,0.014
Malawi,MWI,2024,5655795.0,0.001
Rwanda,RWA,2024,389211.0,0.000
Somalia,SOM,2024,3839803.0,0.001
South Sudan,SSD,2024,292331.0,0.000
Seychelles,SYC,2024,20145709.0,0.004
Tanzania,TZA,2024,31621264.0,0.006
Uganda,UGA,2024,19297947.0,0.004
Angola,AGO,2024,40607432.0,0.008
Central African Republic,CAF,2024,505717.0,0.000
Cameroon,CMR,2024,5927088.0,0.001
Democratic Republic of the Congo,COD,2024,7653289.0,0.001
Republic of the Congo,COG,2024,2310830.0,0.000
Gabon,GAB,2024,484851.0,0.000
Equatorial Guinea,GNQ,2024,210183.0,0.000
Sao Tome and Principe,STP,2024,21775.0,0.000
Chad,TCD,2024,294542.0,0.000
Botswana,BWA,2024,441858.0,0.000
Lesotho,LSO,2024,61422167.0,0.012
Namibia,NAM,2024,11132831.0,0.002
Eswatini,SWZ,2024,7877300.0,0.001
South Africa,ZAF,2024,676299142.0,0.127
Zambia,ZMB,2024,8337841.0,0.002
Zimbabwe,ZWE,2024,6700200.0,0.001
Benin,BEN,2024,4258603.0,0.001
Burkina Faso,BFA,2024,7328793.0,0.001
Cote d'Ivoire,CIV,2024,28761985.0,0.005
Cape Verde,CPV,2024,93578.0,0.000
Ghana,GHA,2024,35372186.0,0.007
Guinea,GIN,2024,8595887.0,0.002
Gambia,GMB,2024,913277.0,0.000
GuineaBissau,GNB,2024,4361.0,0.000
Liberia,LBR,2024,1729157.0,0.000
Mali,MLI,2024,485160.0,0.000
Mauritania,MRT,2024,1761949.0,0.000
Niger,NER,2024,261341.0,0.000
Nigeria,NGA,2024,85221142.0,0.016
Senegal,SEN,2024,11857169.0,0.002
Sierra Leone,SLE,2024,2434661.0,0.000
Togo,TGO,2024,11999405.0,0.002
Kazakhstan,KAZ,2024,108686672.0,0.020
Kyrgyzstan,KGZ,2024,23773519.0,0.004
