Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2015,34247625000.0,12.234
China,CHN,2015,71074845000.0,25.389
"Hong Kong, China",HKG,2015,38030348000.0,13.585
Singapore,SGP,2015,17208852000.0,6.147
Malaysia,MYS,2015,7116576000.0,2.542
Japan,JPN,2015,19256264000.0,6.879
"Korea, Republic of",KOR,2015,12540427000.0,4.48
Mexico,MEX,2015,2205734000.0,0.788
Viet Nam,VNM,2015,9457133000.0,3.378
Thailand,THA,2015,5648416000.0,2.018
India,IND,2015,2925861000.0,1.045
Netherlands,NLD,2015,4110618000.0,1.468
Germany,DEU,2015,5925188000.0,2.117
Australia,AUS,2015,3198752000.0,1.143
Indonesia,IDN,2015,3031436000.0,1.083
Philippines,PHL,2015,7437472000.0,2.657
United Kingdom,GBR,2015,3774243000.0,1.348
Ireland,IRE,2015,232091000.0,0.083
Canada,CAN,2015,2341458000.0,0.836
Area Nes,ARE,2015,2144393000.0,0.766
Italy,ITA,2015,1693809000.0,0.605
Poland,POL,2015,733989000.0,0.262
Belgium,BEL,2015,1078836000.0,0.385
France,FRA,2015,1373107000.0,0.49
Czech Republic,CZE,2015,344414000.0,0.123
United Arab Emirates,ARE,2015,1461919000.0,0.522
Israel,ISR,2015,600837000.0,0.215
Spain,ESP,2015,873484000.0,0.312
Finland,FIN,2015,372210000.0,0.133
Türkiye,TÜR,2015,1506897000.0,0.538
Brazil,BRA,2015,1161078000.0,0.415
Bangladesh,BAN,2015,898926000.0,0.321
Saudi Arabia,SAU,2015,1690120000.0,0.604
Hungary,HUN,2015,448592000.0,0.16
Sweden,SWE,2015,576839000.0,0.206
Cambodia,CAM,2015,676674000.0,0.242
Switzerland,CHE,2015,459399000.0,0.164
Portugal,POR,2015,205583000.0,0.073
Austria,AUT,2015,318105000.0,0.114
South Africa,ZAF,2015,750329000.0,0.268
New Zealand,NEW,2015,427326000.0,0.153
Russian Federation,RUS,2015,1024832000.0,0.366
Denmark,DNK,2015,321832000.0,0.115
Romania,ROM,2015,160089000.0,0.057
Pakistan,PAK,2015,427524000.0,0.153
Egypt,EGY,2015,529113000.0,0.189
Sri Lanka,SRI,2015,407275000.0,0.145
Iceland,ICE,2015,6949000.0,0.002
Oman,OMA,2015,136066000.0,0.049
Marshall Islands,MAR,2015,13803000.0,0.005
Colombia,COL,2015,403306000.0,0.144
Guatemala,GUA,2015,179296000.0,0.064
Argentina,ARG,2015,322283000.0,0.115
Norway,NOR,2015,209126000.0,0.075
Greece,GRE,2015,129150000.0,0.046
Peru,PER,2015,256171000.0,0.092
Jordan,JOR,2015,344911000.0,0.123
Chile,CHI,2015,293808000.0,0.105
Bulgaria,BUL,2015,113817000.0,0.041
Malta,MAL,2015,31752000.0,0.011
Kuwait,KUW,2015,207703000.0,0.074
Slovakia,SLO,2015,385275000.0,0.138
Slovenia,SLO,2015,143727000.0,0.051
Costa Rica,COS,2015,90111000.0,0.032
Dominican Republic,DOM,2015,106369000.0,0.038
Ecuador,ECU,2015,160376000.0,0.057
"Macao, China",MAC,2015,142834000.0,0.051
Lithuania,LIT,2015,99211000.0,0.035
Myanmar,MYA,2015,216350000.0,0.077
Algeria,ALG,2015,81734000.0,0.029
Ukraine,UKR,2015,87246000.0,0.031
Nigeria,NIG,2015,143359000.0,0.051
Morocco,MOR,2015,61107000.0,0.022
Kenya,KEN,2015,113847000.0,0.041
Panama,PAN,2015,143337000.0,0.051
Latvia,LAT,2015,105320000.0,0.038
Qatar,QAT,2015,114512000.0,0.041
El Salvador,EL ,2015,98747000.0,0.035
Kazakhstan,KAZ,2015,53275000.0,0.019
Iraq,IRA,2015,41997000.0,0.015
Honduras,HON,2015,91691000.0,0.033
Mauritius,MAU,2015,130462000.0,0.047
Lebanon,LEB,2015,90831000.0,0.032
Estonia,EST,2015,83419000.0,0.03
Croatia,CRO,2015,36878000.0,0.013
Lao People's Democratic Republic,LAO,2015,3282000.0,0.001
Timor-Leste,TIM,2015,408000.0,0.0
Uruguay,URU,2015,68154000.0,0.024
Paraguay,PAR,2015,31163000.0,0.011
Luxembourg,LUX,2015,14412000.0,0.005
"Iran, Islamic Republic of",IRA,2015,569837000.0,0.204
