Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2013,32535797000.0,10.682
China,CHN,2013,81551903000.0,26.776
"Hong Kong, China",HKG,2013,39323102000.0,12.911
Singapore,SGP,2013,19464211000.0,6.391
Malaysia,MYS,2013,8160920000.0,2.679
Japan,JPN,2013,19166034000.0,6.293
"Korea, Republic of",KOR,2013,12044369000.0,3.955
Mexico,MEX,2013,1780947000.0,0.585
Viet Nam,VNM,2013,8902284000.0,2.923
Thailand,THA,2013,6315080000.0,2.073
India,IND,2013,3413509000.0,1.121
Netherlands,NLD,2013,4433729000.0,1.456
Germany,DEU,2013,5609223000.0,1.842
Australia,AUS,2013,3755350000.0,1.233
Indonesia,IDN,2013,5130899000.0,1.685
Philippines,PHL,2013,9746017000.0,3.2
United Kingdom,GBR,2013,4307058000.0,1.414
Ireland,IRE,2013,165026000.0,0.054
Canada,CAN,2013,2403364000.0,0.789
Area Nes,ARE,2013,3264276000.0,1.072
Italy,ITA,2013,1709860000.0,0.561
Poland,POL,2013,753397000.0,0.247
Belgium,BEL,2013,1139718000.0,0.374
France,FRA,2013,1490319000.0,0.489
Czech Republic,CZE,2013,502672000.0,0.165
United Arab Emirates,ARE,2013,1720684000.0,0.565
Israel,ISR,2013,586782000.0,0.193
Spain,ESP,2013,865635000.0,0.284
Finland,FIN,2013,794689000.0,0.261
Türkiye,TÜR,2013,1602441000.0,0.526
Brazil,BRA,2013,1831254000.0,0.601
Bangladesh,BAN,2013,1010231000.0,0.332
Saudi Arabia,SAU,2013,1811508000.0,0.595
Hungary,HUN,2013,632292000.0,0.208
Sweden,SWE,2013,599172000.0,0.197
Cambodia,CAM,2013,665231000.0,0.218
Switzerland,CHE,2013,482715000.0,0.158
Portugal,POR,2013,189337000.0,0.062
Austria,AUT,2013,303991000.0,0.1
South Africa,ZAF,2013,920745000.0,0.302
New Zealand,NEW,2013,562560000.0,0.185
Russian Federation,RUS,2013,1496564000.0,0.491
Denmark,DNK,2013,369788000.0,0.121
Romania,ROM,2013,128945000.0,0.042
Pakistan,PAK,2013,424597000.0,0.139
Egypt,EGY,2013,702558000.0,0.231
Sri Lanka,SRI,2013,426640000.0,0.14
Iceland,ICE,2013,6471000.0,0.002
Oman,OMA,2013,174463000.0,0.057
Marshall Islands,MAR,2013,17355000.0,0.006
Colombia,COL,2013,424975000.0,0.14
Guatemala,GUA,2013,122349000.0,0.04
Argentina,ARG,2013,375605000.0,0.123
Norway,NOR,2013,257832000.0,0.085
Greece,GRE,2013,139832000.0,0.046
Peru,PER,2013,300344000.0,0.099
Jordan,JOR,2013,315562000.0,0.104
Chile,CHI,2013,373105000.0,0.123
Bulgaria,BUL,2013,95633000.0,0.031
Malta,MAL,2013,35661000.0,0.012
Kuwait,KUW,2013,230431000.0,0.076
Slovakia,SLO,2013,280249000.0,0.092
Slovenia,SLO,2013,123753000.0,0.041
Costa Rica,COS,2013,125175000.0,0.041
Dominican Republic,DOM,2013,114972000.0,0.038
Ecuador,ECU,2013,197338000.0,0.065
"Macao, China",MAC,2013,134386000.0,0.044
Lithuania,LIT,2013,136946000.0,0.045
Myanmar,MYA,2013,179070000.0,0.059
Algeria,ALG,2013,78286000.0,0.026
Ukraine,UKR,2013,202797000.0,0.067
Nigeria,NIG,2013,262436000.0,0.086
Morocco,MOR,2013,54567000.0,0.018
Kenya,KEN,2013,151727000.0,0.05
Panama,PAN,2013,178510000.0,0.059
Latvia,LAT,2013,137761000.0,0.045
Qatar,QAT,2013,104506000.0,0.034
El Salvador,EL ,2013,131125000.0,0.043
Kazakhstan,KAZ,2013,148245000.0,0.049
Iraq,IRA,2013,31371000.0,0.01
Honduras,HON,2013,69285000.0,0.023
Mauritius,MAU,2013,113021000.0,0.037
Lebanon,LEB,2013,161059000.0,0.053
Estonia,EST,2013,170611000.0,0.056
Croatia,CRO,2013,36530000.0,0.012
Lao People's Democratic Republic,LAO,2013,3807000.0,0.001
Timor-Leste,TIM,2013,11927000.0,0.004
