Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2009,23565577000.0,11.607
China,CHN,2009,54040590000.0,26.616
"Hong Kong, China",HKG,2009,29362441000.0,14.462
Singapore,SGP,2009,8572435000.0,4.222
Malaysia,MYS,2009,4040748000.0,1.99
Japan,JPN,2009,14465168000.0,7.124
"Korea, Republic of",KOR,2009,7279557000.0,3.585
Mexico,MEX,2009,1091137000.0,0.537
Viet Nam,VNM,2009,5976392000.0,2.944
Thailand,THA,2009,3813183000.0,1.878
India,IND,2009,2528760000.0,1.245
Netherlands,NLD,2009,4213906000.0,2.075
Germany,DEU,2009,4680976000.0,2.305
Australia,AUS,2009,2346759000.0,1.156
Indonesia,IDN,2009,3209755000.0,1.581
Philippines,PHL,2009,4416525000.0,2.175
United Kingdom,GBR,2009,2968122000.0,1.462
Ireland,IRE,2009,156294000.0,0.077
Canada,CAN,2009,1455772000.0,0.717
Area Nes,ARE,2009,1848493000.0,0.91
Italy,ITA,2009,1782656000.0,0.878
Poland,POL,2009,618893000.0,0.305
Belgium,BEL,2009,756527000.0,0.373
France,FRA,2009,1372972000.0,0.676
Czech Republic,CZE,2009,361020000.0,0.178
United Arab Emirates,ARE,2009,1014639000.0,0.5
Israel,ISR,2009,390955000.0,0.193
Spain,ESP,2009,1131412000.0,0.557
Finland,FIN,2009,474548000.0,0.234
Türkiye,TÜR,2009,1086700000.0,0.535
Brazil,BRA,2009,1401979000.0,0.691
Bangladesh,BAN,2009,615151000.0,0.303
Saudi Arabia,SAU,2009,672618000.0,0.331
Hungary,HUN,2009,353284000.0,0.174
Sweden,SWE,2009,479858000.0,0.236
Cambodia,CAM,2009,323141000.0,0.159
Switzerland,CHE,2009,297865000.0,0.147
Portugal,POR,2009,184795000.0,0.091
Austria,AUT,2009,373174000.0,0.184
South Africa,ZAF,2009,649125000.0,0.32
New Zealand,NEW,2009,296643000.0,0.146
Russian Federation,RUS,2009,579279000.0,0.285
Denmark,DNK,2009,302728000.0,0.149
Romania,ROM,2009,94605000.0,0.047
Pakistan,PAK,2009,330335000.0,0.163
Egypt,EGY,2009,388137000.0,0.191
Sri Lanka,SRI,2009,173972000.0,0.086
Iceland,ICE,2009,19525000.0,0.01
Oman,OMA,2009,76867000.0,0.038
Marshall Islands,MAR,2009,6770000.0,0.003
Colombia,COL,2009,215827000.0,0.106
Guatemala,GUA,2009,65833000.0,0.032
Argentina,ARG,2009,222088000.0,0.109
Norway,NOR,2009,191714000.0,0.094
Greece,GRE,2009,180752000.0,0.089
Peru,PER,2009,200191000.0,0.099
Jordan,JOR,2009,182189000.0,0.09
Chile,CHI,2009,261067000.0,0.129
Bulgaria,BUL,2009,62414000.0,0.031
Malta,MAL,2009,38308000.0,0.019
Kuwait,KUW,2009,147107000.0,0.072
Slovakia,SLO,2009,243875000.0,0.12
Slovenia,SLO,2009,59073000.0,0.029
Costa Rica,COS,2009,68755000.0,0.034
Dominican Republic,DOM,2009,81008000.0,0.04
Ecuador,ECU,2009,116528000.0,0.057
"Macao, China",MAC,2009,302661000.0,0.149
Lithuania,LIT,2009,62464000.0,0.031
Myanmar,MYA,2009,81583000.0,0.04
Algeria,ALG,2009,51117000.0,0.025
Ukraine,UKR,2009,90379000.0,0.045
Nigeria,NIG,2009,243875000.0,0.12
Morocco,MOR,2009,54451000.0,0.027
Kenya,KEN,2009,58045000.0,0.029
Panama,PAN,2009,153064000.0,0.075
Latvia,LAT,2009,53000000.0,0.026
Qatar,QAT,2009,69175000.0,0.034
El Salvador,EL ,2009,71440000.0,0.035
Kazakhstan,KAZ,2009,26527000.0,0.013
Iraq,IRA,2009,9549000.0,0.005
Honduras,HON,2009,41437000.0,0.02
Mauritius,MAU,2009,33928000.0,0.017
Lebanon,LEB,2009,74943000.0,0.037
Estonia,EST,2009,73786000.0,0.036
Croatia,CRO,2009,72590000.0,0.036
Lao People's Democratic Republic,LAO,2009,3256000.0,0.002
Timor-Leste,TIM,2009,54000.0,0.0
Uruguay,URU,2009,76743000.0,0.038
Paraguay,PAR,2009,32568000.0,0.016
Luxembourg,LUX,2009,143117000.0,0.07
"Iran, Islamic Republic of",IRA,2009,568028000.0,0.28
Papua New Guinea,PAP,2009,45833000.0,0.023
Fiji,FIJ,2009,26605000.0,0.013
United States Minor Outlying Islands,UNI,2009,51292000.0,0.025
Bahrain,BAH,2009,26125000.0,0.013
Tunisia,TUN,2009,54203000.0,0.027
Ghana,GHA,2009,53183000.0,0.026
American Samoa,AME,2009,0.0,0.0
Côte d'Ivoire,CÔT,2009,21816000.0,0.011
Serbia,SER,2009,8854000.0,0.004
"Tanzania, United Republic of",TAN,2009,12466000.0,0.006
Solomon Islands,SOL,2009,1251000.0,0.001
Trinidad and Tobago,TRI,2009,41889000.0,0.021
Haiti,HAI,2009,7490000.0,0.004
Georgia,GEO,2009,7371000.0,0.004
"Micronesia, Federated States of",MIC,2009,4163000.0,0.002
"Libya, State of",LIB,2009,36867000.0,0.018
Madagascar,MAD,2009,18122000.0,0.009
Cyprus,CYP,2009,35385000.0,0.017
Ethiopia,ETH,2009,4914000.0,0.002
Uzbekistan,UZB,2009,2411000.0,0.001
Nicaragua,NIC,2009,18302000.0,0.009
Brunei Darussalam,BRU,2009,30146000.0,0.015
Palau,PAL,2009,25963000.0,0.013
Guinea,GUI,2009,12200000.0,0.006
Djibouti,DJI,2009,9082000.0,0.004
Lesotho,LES,2009,47824000.0,0.024
Kyrgyzstan,KYR,2009,857000.0,0.0
"Venezuela, Bolivarian Republic of",VEN,2009,127727000.0,0.063
Vanuatu,VAN,2009,517000.0,0.0
