Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2018,116376940.0,0.031
Egypt,EGY,2018,434829645.0,0.115
Libya,LBY,2018,15592727.0,0.004
Morocco,MAR,2018,115064517.0,0.030
Sudan,SDN,2018,14387274.0,0.004
Tunisia,TUN,2018,145941291.0,0.038
Burundi,BDI,2018,21917.0,0.000
Comoros,COM,2018,38656.0,0.000
Djibouti,DJI,2018,28519228.0,0.008
Eritrea,ERI,2018,1181435.0,0.000
Ethiopia,ETH,2018,22458402.0,0.006
Kenya,KEN,2018,93444243.0,0.025
Madagascar,MDG,2018,31425221.0,0.008
Mozambique,MOZ,2018,30427019.0,0.008
Mauritius,MUS,2018,102099135.0,0.027
Malawi,MWI,2018,2453552.0,0.001
Rwanda,RWA,2018,1007951.0,0.000
Somalia,SOM,2018,923816.0,0.000
Seychelles,SYC,2018,8159442.0,0.002
Tanzania,TZA,2018,32084804.0,0.008
Uganda,UGA,2018,14214445.0,0.004
Angola,AGO,2018,40528595.0,0.011
Central African Republic,CAF,2018,5073.0,0.000
Cameroon,CMR,2018,3533758.0,0.001
Democratic Republic of the Congo,COD,2018,5573274.0,0.001
Republic of the Congo,COG,2018,1028604.0,0.000
Gabon,GAB,2018,1132364.0,0.000
Equatorial Guinea,GNQ,2018,178544.0,0.000
Sao Tome and Principe,STP,2018,17175.0,0.000
Chad,TCD,2018,133485.0,0.000
Botswana,BWA,2018,1428261.0,0.000
Lesotho,LSO,2018,118059201.0,0.031
Namibia,NAM,2018,8289374.0,0.002
Eswatini,SWZ,2018,17688448.0,0.005
South Africa,ZAF,2018,823678898.0,0.217
Zambia,ZMB,2018,15699888.0,0.004
Zimbabwe,ZWE,2018,4849064.0,0.001
Benin,BEN,2018,2551364.0,0.001
Burkina Faso,BFA,2018,9076936.0,0.002
Cote d'Ivoire,CIV,2018,44262001.0,0.012
Cape Verde,CPV,2018,39157.0,0.000
Ghana,GHA,2018,31920570.0,0.008
Guinea,GIN,2018,8806275.0,0.002
Gambia,GMB,2018,658040.0,0.000
Liberia,LBR,2018,1332643.0,0.000
Mali,MLI,2018,2805109.0,0.001
Mauritania,MRT,2018,1529373.0,0.000
Niger,NER,2018,753428.0,0.000
Nigeria,NGA,2018,112182097.0,0.030
Senegal,SEN,2018,6472969.0,0.002
Sierra Leone,SLE,2018,2091525.0,0.001
Togo,TGO,2018,49335663.0,0.013
Kazakhstan,KAZ,2018,44119619.0,0.012
Kyrgyzstan,KGZ,2018,3442320.0,0.001
Tajikistan,TJK,2018,424161.0,0.000
Turkmenistan,TKM,2018,612020.0,0.000
Uzbekistan,UZB,2018,22637545.0,0.006
China,CHN,2018,100704815376.0,26.555
Hong Kong,HKG,2018,43447830861.0,11.457
Japan,JPN,2018,24851085217.0,6.553
South Korea,KOR,2018,16657482475.0,4.392
Macau,MAC,2018,142653371.0,0.038
Mongolia,MNG,2018,13996468.0,0.004
Brunei,BRN,2018,22764472.0,0.006
Cocos (Keeling) Islands,CCK,2018,6631.0,0.000
Christmas Island,CXR,2018,3316.0,0.000
Indonesia,IDN,2018,3640159734.0,0.960
Cambodia,KHM,2018,798346568.0,0.211
Laos,LAO,2018,13300142.0,0.004
Burma,MMR,2018,324177465.0,0.085
Malaysia,MYS,2018,13234966429.0,3.490
Philippines,PHL,2018,8885666852.0,2.343
Singapore,SGP,2018,27742277928.0,7.316
Thailand,THA,2018,8156185835.0,2.151
TimorLeste,TLS,2018,1981480.0,0.001
Vietnam,VNM,2018,12583733454.0,3.318
Afghanistan,AFG,2018,1723434.0,0.000
Bangladesh,BGD,2018,1789725448.0,0.472
Bhutan,BTN,2018,1360916.0,0.000
India,IND,2018,4773295956.0,1.259
Iran,IRN,2018,452600017.0,0.119
Sri Lanka,LKA,2018,399855703.0,0.105
Maldives,MDV,2018,9092269.0,0.002
Nepal,NPL,2018,24748030.0,0.007
Pakistan,PAK,2018,756507686.0,0.199
United Arab Emirates,ARE,2018,1701113803.0,0.449
Armenia,ARM,2018,2205723.0,0.001
Azerbaijan,AZE,2018,19502610.0,0.005
Bahrain,BHR,2018,75188884.0,0.020
Georgia,GEO,2018,12694096.0,0.003
Iraq,IRQ,2018,50093804.0,0.013
Israel,ISR,2018,1026548523.0,0.271
Jordan,JOR,2018,269651156.0,0.071
Kuwait,KWT,2018,200247825.0,0.053
Lebanon,LBN,2018,81982307.0,0.022
Oman,OMN,2018,147898726.0,0.039
Palestine,PSE,2018,717290.0,0.000
Qatar,QAT,2018,188809027.0,0.050
Saudi Arabia,SAU,2018,775403689.0,0.204
Syria,SYR,2018,41598089.0,0.011
Turkey,TUR,2018,1722192969.0,0.454
Yemen,YEM,2018,13191308.0,0.003
Cyprus,CYP,2018,35197634.0,0.009
Bulgaria,BGR,2018,140006928.0,0.037
Belarus,BLR,2018,87264443.0,0.023
Czechia,CZE,2018,1036567559.0,0.273
Hungary,HUN,2018,592690163.0,0.156
Moldova,MDA,2018,8310575.0,0.002
Poland,POL,2018,1393078795.0,0.367
Romania,ROU,2018,265652260.0,0.070
Russia,RUS,2018,1677532645.0,0.442
Slovakia,SVK,2018,398143769.0,0.105
Ukraine,UKR,2018,130096427.0,0.034
Denmark,DNK,2018,465053183.0,0.123
Estonia,EST,2018,127437418.0,0.034
Finland,FIN,2018,380379865.0,0.100
United Kingdom,GBR,2018,4644769357.0,1.225
Ireland,IRL,2018,405052294.0,0.107
Iceland,ISL,2018,27930692.0,0.007
Lithuania,LTU,2018,88350937.0,0.023
Latvia,LVA,2018,100313561.0,0.026
Norway,NOR,2018,481711091.0,0.127
Sweden,SWE,2018,749350770.0,0.198
Albania,ALB,2018,6382369.0,0.002
Andorra,AND,2018,4360812.0,0.001
Bosnia and Herzegovina,BIH,2018,30578777.0,0.008
Spain,ESP,2018,1559923969.0,0.411
Gibraltar,GIB,2018,23640.0,0.000
Greece,GRC,2018,160862638.0,0.042
Croatia,HRV,2018,53771546.0,0.014
Italy,ITA,2018,2526703098.0,0.666
North Macedonia,MKD,2018,26625414.0,0.007
Malta,MLT,2018,25129940.0,0.007
Montenegro,MNE,2018,11090365.0,0.003
Portugal,PRT,2018,497613111.0,0.131
San Marino,SMR,2018,652505.0,0.000
Serbia,SRB,2018,85212149.0,0.022
Slovenia,SVN,2018,170968148.0,0.045
Austria,AUT,2018,764226564.0,0.202
Belgium,BEL,2018,1340724616.0,0.354
Switzerland,CHE,2018,1253714778.0,0.331
Germany,DEU,2018,10285903708.0,2.712
France,FRA,2018,2860521018.0,0.754
Luxembourg,LUX,2018,113822077.0,0.030
Netherlands,NLD,2018,4993389277.0,1.317
Aruba,ABW,2018,759788.0,0.000
Anguilla,AIA,2018,73638.0,0.000
Antigua and Barbuda,ATG,2018,377113.0,0.000
Bahamas,BHS,2018,542259.0,0.000
Saint Barthélemy,BLM,2018,62399.0,0.000
Barbados,BRB,2018,3237488.0,0.001
Cuba,CUB,2018,14666891.0,0.004
Curaçao,CUW,2018,895469.0,0.000
Cayman Islands,CYM,2018,1146623.0,0.000
Dominica,DMA,2018,386827.0,0.000
Dominican Republic,DOM,2018,146265300.0,0.039
Grenada,GRD,2018,268029.0,0.000
Haiti,HTI,2018,29439070.0,0.008
Jamaica,JAM,2018,15854801.0,0.004
Saint Kitts and Nevis,KNA,2018,985549.0,0.000
Saint Lucia,LCA,2018,472899.0,0.000
Saint Martin,MAF,2018,487985.0,0.000
Montserrat,MSR,2018,2586.0,0.000
Trinidad and Tobago,TTO,2018,32004818.0,0.008
Saint Vincent and the Grenadines,VCT,2018,459699.0,0.000
British Virgin Islands,VGB,2018,652305.0,0.000
Belize,BLZ,2018,8095382.0,0.002
Costa Rica,CRI,2018,114394138.0,0.030
Guatemala,GTM,2018,144052276.0,0.038
Honduras,HND,2018,100290874.0,0.026
Mexico,MEX,2018,2476287417.0,0.653
Nicaragua,NIC,2018,47997273.0,0.013
Panama,PAN,2018,150831776.0,0.040
El Salvador,SLV,2018,142085663.0,0.037
Bermuda,BMU,2018,1369240.0,0.000
Canada,CAN,2018,4293951088.0,1.132
Greenland,GRL,2018,244392.0,0.000
United States,USA,2018,44382308352.0,11.703
Australia,AUS,2018,3803342958.0,1.003
New Zealand,NZL,2018,610869003.0,0.161
Fiji,FJI,2018,88337528.0,0.023
New Caledonia,NCL,2018,6194609.0,0.002
Papua New Guinea,PNG,2018,55613191.0,0.015
Solomon Islands,SLB,2018,11252903.0,0.003
Vanuatu,VUT,2018,778798.0,0.000
Micronesia,FSM,2018,5654850.0,0.001
Guam,GUM,2018,67645321.0,0.018
Kiribati,KIR,2018,1689573.0,0.000
Marshall Islands,MHL,2018,34954036.0,0.009
Northern Mariana Islands,MNP,2018,5960332.0,0.002
Nauru,NRU,2018,33147671.0,0.009
Palau,PLW,2018,25340439.0,0.007
American Samoa,ASM,2018,15054168.0,0.004
