Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2008,30754180000.0,12.101
China,CHN,2008,66328341000.0,26.098
"Hong Kong, China",HKG,2008,32489312000.0,12.783
Singapore,SGP,2008,11621074000.0,4.572
Malaysia,MYS,2008,5476675000.0,2.155
Japan,JPN,2008,17501896000.0,6.886
"Korea, Republic of",KOR,2008,8648140000.0,3.403
Mexico,MEX,2008,1836765000.0,0.723
Viet Nam,VNM,2008,7893909000.0,3.106
Thailand,THA,2008,4880557000.0,1.92
India,IND,2008,2981389000.0,1.173
Netherlands,NLD,2008,4565888000.0,1.796
Germany,DEU,2008,5712087000.0,2.247
Australia,AUS,2008,3469089000.0,1.365
Indonesia,IDN,2008,3548362000.0,1.396
Philippines,PHL,2008,4757056000.0,1.872
United Kingdom,GBR,2008,3607379000.0,1.419
Ireland,IRE,2008,308204000.0,0.121
Canada,CAN,2008,1847262000.0,0.727
Area Nes,ARE,2008,3340750000.0,1.314
Italy,ITA,2008,2438387000.0,0.959
Poland,POL,2008,711925000.0,0.28
Belgium,BEL,2008,1174420000.0,0.462
France,FRA,2008,1731487000.0,0.681
Czech Republic,CZE,2008,479477000.0,0.189
United Arab Emirates,ARE,2008,1542792000.0,0.607
Israel,ISR,2008,509859000.0,0.201
Spain,ESP,2008,1844541000.0,0.726
Finland,FIN,2008,939136000.0,0.37
Türkiye,TÜR,2008,1245208000.0,0.49
Brazil,BRA,2008,2723281000.0,1.072
Bangladesh,BAN,2008,654790000.0,0.258
Saudi Arabia,SAU,2008,987261000.0,0.388
Hungary,HUN,2008,555627000.0,0.219
Sweden,SWE,2008,705199000.0,0.277
Cambodia,CAM,2008,412414000.0,0.162
Switzerland,CHE,2008,388503000.0,0.153
Portugal,POR,2008,545027000.0,0.214
Austria,AUT,2008,467793000.0,0.184
South Africa,ZAF,2008,979918000.0,0.386
New Zealand,NEW,2008,633003000.0,0.249
Russian Federation,RUS,2008,924857000.0,0.364
Denmark,DNK,2008,485907000.0,0.191
Romania,ROM,2008,146121000.0,0.057
Pakistan,PAK,2008,397028000.0,0.156
Egypt,EGY,2008,455567000.0,0.179
Sri Lanka,SRI,2008,215963000.0,0.085
Iceland,ICE,2008,5723000.0,0.002
Oman,OMA,2008,52747000.0,0.021
Marshall Islands,MAR,2008,7443000.0,0.003
Colombia,COL,2008,319537000.0,0.126
Guatemala,GUA,2008,74165000.0,0.029
Argentina,ARG,2008,304766000.0,0.12
Norway,NOR,2008,251136000.0,0.099
Greece,GRE,2008,274739000.0,0.108
Peru,PER,2008,245389000.0,0.097
Jordan,JOR,2008,187597000.0,0.074
Chile,CHI,2008,302908000.0,0.119
Bulgaria,BUL,2008,143329000.0,0.056
Malta,MAL,2008,42655000.0,0.017
Kuwait,KUW,2008,141249000.0,0.056
Slovakia,SLO,2008,434606000.0,0.171
Slovenia,SLO,2008,89945000.0,0.035
Costa Rica,COS,2008,122463000.0,0.048
Dominican Republic,DOM,2008,104983000.0,0.041
Ecuador,ECU,2008,141187000.0,0.056
"Macao, China",MAC,2008,402329000.0,0.158
Lithuania,LIT,2008,136309000.0,0.054
Myanmar,MYA,2008,93316000.0,0.037
Algeria,ALG,2008,60514000.0,0.024
Ukraine,UKR,2008,252420000.0,0.099
