Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2020,77896155.0,0.020
Egypt,EGY,2020,382822464.0,0.096
Libya,LBY,2020,15412824.0,0.004
Morocco,MAR,2020,103493723.0,0.026
Sudan,SDN,2020,12370221.0,0.003
Tunisia,TUN,2020,116225808.0,0.029
Burundi,BDI,2020,261904.0,0.000
Comoros,COM,2020,133169.0,0.000
Djibouti,DJI,2020,27981126.0,0.007
Eritrea,ERI,2020,181235.0,0.000
Ethiopia,ETH,2020,67405654.0,0.017
Kenya,KEN,2020,150210882.0,0.038
Madagascar,MDG,2020,31015802.0,0.008
Mozambique,MOZ,2020,13428483.0,0.003
Mauritius,MUS,2020,73164601.0,0.018
Malawi,MWI,2020,3213436.0,0.001
Rwanda,RWA,2020,259513.0,0.000
Somalia,SOM,2020,911482.0,0.000
Seychelles,SYC,2020,9363329.0,0.002
Tanzania,TZA,2020,33790588.0,0.008
Uganda,UGA,2020,21542530.0,0.005
Angola,AGO,2020,9125582.0,0.002
Central African Republic,CAF,2020,28317.0,0.000
Cameroon,CMR,2020,18204724.0,0.005
Democratic Republic of the Congo,COD,2020,9940095.0,0.002
Republic of the Congo,COG,2020,580327.0,0.000
Gabon,GAB,2020,3214592.0,0.001
Equatorial Guinea,GNQ,2020,1684722.0,0.000
Chad,TCD,2020,61092.0,0.000
Botswana,BWA,2020,1682630.0,0.000
Lesotho,LSO,2020,81907279.0,0.021
Namibia,NAM,2020,7127333.0,0.002
Eswatini,SWZ,2020,17191534.0,0.004
South Africa,ZAF,2020,576083906.0,0.144
Zambia,ZMB,2020,7450069.0,0.002
Zimbabwe,ZWE,2020,3895936.0,0.001
Benin,BEN,2020,3507869.0,0.001
Burkina Faso,BFA,2020,8393492.0,0.002
Cote d'Ivoire,CIV,2020,30491666.0,0.008
Cape Verde,CPV,2020,45966.0,0.000
Ghana,GHA,2020,29873492.0,0.007
Guinea,GIN,2020,6449897.0,0.002
Gambia,GMB,2020,683042.0,0.000
GuineaBissau,GNB,2020,3948.0,0.000
Liberia,LBR,2020,3696340.0,0.001
Mali,MLI,2020,2360547.0,0.001
Mauritania,MRT,2020,1507096.0,0.000
Niger,NER,2020,180462.0,0.000
Nigeria,NGA,2020,93066610.0,0.023
Senegal,SEN,2020,6418235.0,0.002
Sierra Leone,SLE,2020,1593544.0,0.000
Togo,TGO,2020,17271347.0,0.004
Kazakhstan,KAZ,2020,43255675.0,0.011
Kyrgyzstan,KGZ,2020,4084147.0,0.001
Tajikistan,TJK,2020,207816.0,0.000
Turkmenistan,TKM,2020,297805.0,0.000
Uzbekistan,UZB,2020,14278755.0,0.004
China,CHN,2020,105733476804.0,26.521
Hong Kong,HKG,2020,52638427450.0,13.203
Japan,JPN,2020,24661474287.0,6.186
South Korea,KOR,2020,17059269311.0,4.279
Macau,MAC,2020,164358640.0,0.041
Mongolia,MNG,2020,10632162.0,0.003
Brunei,BRN,2020,91447999.0,0.023
Indonesia,IDN,2020,3475980557.0,0.872
Cambodia,KHM,2020,777997689.0,0.195
Laos,LAO,2020,21569201.0,0.005
Burma,MMR,2020,245994538.0,0.062
Malaysia,MYS,2020,10770888978.0,2.702
Philippines,PHL,2020,5022397405.0,1.260
Singapore,SGP,2020,31760371254.0,7.966
Thailand,THA,2020,7537937949.0,1.891
TimorLeste,TLS,2020,12883787.0,0.003
Vietnam,VNM,2020,14059133887.0,3.526
Afghanistan,AFG,2020,656736.0,0.000
Bangladesh,BGD,2020,843997194.0,0.212
Bhutan,BTN,2020,214513.0,0.000
India,IND,2020,3615897635.0,0.907
Iran,IRN,2020,221523226.0,0.056
Sri Lanka,LKA,2020,332226969.0,0.083
Maldives,MDV,2020,5746489.0,0.001
Nepal,NPL,2020,19326382.0,0.005
Pakistan,PAK,2020,712627644.0,0.179
United Arab Emirates,ARE,2020,1421631064.0,0.357
Armenia,ARM,2020,2597531.0,0.001
Azerbaijan,AZE,2020,16901164.0,0.004
Bahrain,BHR,2020,62467100.0,0.016
Georgia,GEO,2020,15124924.0,0.004
Iraq,IRQ,2020,58282036.0,0.015
