Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2025,198303208000.0,30.975
China,CHN,2025,100125992000.0,15.64
"Hong Kong, China",HKG,2025,70430854000.0,11.001
Singapore,SGP,2025,40403790000.0,6.311
Malaysia,MYS,2025,37017575000.0,5.782
Japan,JPN,2025,30026501000.0,4.69
"Korea, Republic of",KOR,2025,26616165000.0,4.157
Mexico,MEX,2025,21997764000.0,3.436
Viet Nam,VNM,2025,18176476000.0,2.839
Thailand,THA,2025,12823142000.0,2.003
India,IND,2025,9220138000.0,1.44
Netherlands,NLD,2025,8330766000.0,1.301
Germany,DEU,2025,7379162000.0,1.153
Australia,AUS,2025,5500304000.0,0.859
Indonesia,IDN,2025,4712770000.0,0.736
Philippines,PHL,2025,4483226000.0,0.7
United Kingdom,GBR,2025,4310063000.0,0.673
Ireland,IRE,2025,3604167000.0,0.563
Canada,CAN,2025,2787065000.0,0.435
Area Nes,ARE,2025,2652681000.0,0.414
Italy,ITA,2025,2081609000.0,0.325
Poland,POL,2025,2060510000.0,0.322
Belgium,BEL,2025,1718171000.0,0.268
France,FRA,2025,1647735000.0,0.257
Czech Republic,CZE,2025,1610345000.0,0.252
United Arab Emirates,ARE,2025,1586061000.0,0.248
Israel,ISR,2025,1448795000.0,0.226
Spain,ESP,2025,1340402000.0,0.209
Finland,FIN,2025,1283816000.0,0.201
Türkiye,TÜR,2025,1068000000.0,0.167
Brazil,BRA,2025,1064195000.0,0.166
Bangladesh,BAN,2025,979192000.0,0.153
Saudi Arabia,SAU,2025,935798000.0,0.146
Hungary,HUN,2025,929244000.0,0.145
Sweden,SWE,2025,675271000.0,0.105
Cambodia,CAM,2025,567802000.0,0.089
Switzerland,CHE,2025,564764000.0,0.088
Portugal,POR,2025,564409000.0,0.088
Austria,AUT,2025,501051000.0,0.078
South Africa,ZAF,2025,457352000.0,0.071
New Zealand,NEW,2025,398429000.0,0.062
Russian Federation,RUS,2025,382644000.0,0.06
Denmark,DNK,2025,347586000.0,0.054
Romania,ROM,2025,334883000.0,0.052
Pakistan,PAK,2025,328856000.0,0.051
Egypt,EGY,2025,314707000.0,0.049
Sri Lanka,SRI,2025,311896000.0,0.049
Iceland,ICE,2025,267827000.0,0.042
Oman,OMA,2025,263391000.0,0.041
Marshall Islands,MAR,2025,233186000.0,0.036
Colombia,COL,2025,229617000.0,0.036
Guatemala,GUA,2025,198065000.0,0.031
Argentina,ARG,2025,189299000.0,0.03
Norway,NOR,2025,186798000.0,0.029
Greece,GRE,2025,174178000.0,0.027
Peru,PER,2025,161094000.0,0.025
Jordan,JOR,2025,156498000.0,0.024
Chile,CHI,2025,155900000.0,0.024
Bulgaria,BUL,2025,143096000.0,0.022
Malta,MAL,2025,133411000.0,0.021
Kuwait,KUW,2025,132985000.0,0.021
Slovakia,SLO,2025,128716000.0,0.02
Slovenia,SLO,2025,126819000.0,0.02
Costa Rica,COS,2025,126383000.0,0.02
Dominican Republic,DOM,2025,119714000.0,0.019
Ecuador,ECU,2025,116858000.0,0.018
"Macao, China",MAC,2025,116223000.0,0.018
Lithuania,LIT,2025,105683000.0,0.017
Myanmar,MYA,2025,105296000.0,0.016
Algeria,ALG,2025,99502000.0,0.016
Ukraine,UKR,2025,93285000.0,0.015
Nigeria,NIG,2025,90614000.0,0.014
Morocco,MOR,2025,89831000.0,0.014
Kenya,KEN,2025,83634000.0,0.013
Panama,PAN,2025,81024000.0,0.013
Latvia,LAT,2025,77043000.0,0.012
Qatar,QAT,2025,68395000.0,0.011
El Salvador,EL ,2025,67278000.0,0.011
Kazakhstan,KAZ,2025,59343000.0,0.009
Iraq,IRA,2025,57107000.0,0.009
Honduras,HON,2025,55017000.0,0.009
Mauritius,MAU,2025,49345000.0,0.008
Lebanon,LEB,2025,49303000.0,0.008
Estonia,EST,2025,48328000.0,0.008
