Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2011,36326571000.0,11.81
China,CHN,2011,83751332000.0,27.229
"Hong Kong, China",HKG,2011,39994523000.0,13.003
Singapore,SGP,2011,16866613000.0,5.484
Malaysia,MYS,2011,6876498000.0,2.236
Japan,JPN,2011,18198289000.0,5.917
"Korea, Republic of",KOR,2011,12352634000.0,4.016
Mexico,MEX,2011,1532348000.0,0.498
Viet Nam,VNM,2011,9001852000.0,2.927
Thailand,THA,2011,6118665000.0,1.989
India,IND,2011,4411986000.0,1.434
Netherlands,NLD,2011,4573776000.0,1.487
Germany,DEU,2011,6856382000.0,2.229
Australia,AUS,2011,3648532000.0,1.186
Indonesia,IDN,2011,4830308000.0,1.57
Philippines,PHL,2011,6961313000.0,2.263
United Kingdom,GBR,2011,4618539000.0,1.502
Ireland,IRE,2011,183224000.0,0.06
Canada,CAN,2011,2565750000.0,0.834
Area Nes,ARE,2011,3387846000.0,1.101
Italy,ITA,2011,2450526000.0,0.797
Poland,POL,2011,746786000.0,0.243
Belgium,BEL,2011,1294508000.0,0.421
France,FRA,2011,1748824000.0,0.569
Czech Republic,CZE,2011,463182000.0,0.151
United Arab Emirates,ARE,2011,1575620000.0,0.512
Israel,ISR,2011,610300000.0,0.198
Spain,ESP,2011,1262386000.0,0.41
Finland,FIN,2011,795036000.0,0.258
Türkiye,TÜR,2011,1615482000.0,0.525
Brazil,BRA,2011,2344048000.0,0.762
Bangladesh,BAN,2011,1068384000.0,0.347
Saudi Arabia,SAU,2011,1685270000.0,0.548
Hungary,HUN,2011,414658000.0,0.135
Sweden,SWE,2011,679573000.0,0.221
Cambodia,CAM,2011,629737000.0,0.205
Switzerland,CHE,2011,454350000.0,0.148
Portugal,POR,2011,202653000.0,0.066
Austria,AUT,2011,298496000.0,0.097
South Africa,ZAF,2011,1304716000.0,0.424
New Zealand,NEW,2011,432880000.0,0.141
Russian Federation,RUS,2011,1516105000.0,0.493
Denmark,DNK,2011,388899000.0,0.126
Romania,ROM,2011,137374000.0,0.045
Pakistan,PAK,2011,475200000.0,0.154
Egypt,EGY,2011,515982000.0,0.168
Sri Lanka,SRI,2011,301581000.0,0.098
Iceland,ICE,2011,7096000.0,0.002
Oman,OMA,2011,173422000.0,0.056
Marshall Islands,MAR,2011,24791000.0,0.008
Colombia,COL,2011,400073000.0,0.13
Guatemala,GUA,2011,104722000.0,0.034
Argentina,ARG,2011,377706000.0,0.123
Norway,NOR,2011,420743000.0,0.137
Greece,GRE,2011,177570000.0,0.058
Peru,PER,2011,353114000.0,0.115
Jordan,JOR,2011,258302000.0,0.084
Chile,CHI,2011,397616000.0,0.129
Bulgaria,BUL,2011,99352000.0,0.032
Malta,MAL,2011,46493000.0,0.015
Kuwait,KUW,2011,170102000.0,0.055
Slovakia,SLO,2011,291345000.0,0.095
Slovenia,SLO,2011,288677000.0,0.094
Costa Rica,COS,2011,156334000.0,0.051
Dominican Republic,DOM,2011,103160000.0,0.034
Ecuador,ECU,2011,191959000.0,0.062
"Macao, China",MAC,2011,212199000.0,0.069
Lithuania,LIT,2011,154343000.0,0.05
Myanmar,MYA,2011,132632000.0,0.043
Algeria,ALG,2011,69197000.0,0.022
Ukraine,UKR,2011,187510000.0,0.061
Nigeria,NIG,2011,244623000.0,0.08
Morocco,MOR,2011,65458000.0,0.021
Kenya,KEN,2011,156499000.0,0.051
Panama,PAN,2011,196232000.0,0.064
Latvia,LAT,2011,129724000.0,0.042
Qatar,QAT,2011,78587000.0,0.026
El Salvador,EL ,2011,129658000.0,0.042
Kazakhstan,KAZ,2011,61748000.0,0.02
Iraq,IRA,2011,19736000.0,0.006
Honduras,HON,2011,46324000.0,0.015
Mauritius,MAU,2011,74418000.0,0.024
Lebanon,LEB,2011,91243000.0,0.03
Estonia,EST,2011,137349000.0,0.045
Croatia,CRO,2011,43895000.0,0.014
Lao People's Democratic Republic,LAO,2011,2242000.0,0.001
Timor-Leste,TIM,2011,148000.0,0.0
Uruguay,URU,2011,143464000.0,0.047
Paraguay,PAR,2011,90266000.0,0.029
Luxembourg,LUX,2011,36231000.0,0.012
"Iran, Islamic Republic of",IRA,2011,912864000.0,0.297
Papua New Guinea,PAP,2011,134511000.0,0.044
Fiji,FIJ,2011,80858000.0,0.026
United States Minor Outlying Islands,UNI,2011,44115000.0,0.014
Bahrain,BAH,2011,46602000.0,0.015
Tunisia,TUN,2011,97113000.0,0.032
Ghana,GHA,2011,46408000.0,0.015
American Samoa,AME,2011,0.0,0.0
Côte d'Ivoire,CÔT,2011,18939000.0,0.006
Serbia,SER,2011,9232000.0,0.003
"Tanzania, United Republic of",TAN,2011,35275000.0,0.011
Solomon Islands,SOL,2011,4102000.0,0.001
Trinidad and Tobago,TRI,2011,52828000.0,0.017
