Country,Country ID,Year,Exports (USD),Share (%)
United States of America,USA,2016,33433291000.0,11.982
China,CHN,2016,73614668000.0,26.383
"Hong Kong, China",HKG,2016,38214409000.0,13.696
Singapore,SGP,2016,16147722000.0,5.787
Malaysia,MYS,2016,7809862000.0,2.799
Japan,JPN,2016,19474518000.0,6.98
"Korea, Republic of",KOR,2016,12526389000.0,4.489
Mexico,MEX,2016,2037710000.0,0.73
Viet Nam,VNM,2016,9510817000.0,3.409
Thailand,THA,2016,5490981000.0,1.968
India,IND,2016,2820455000.0,1.011
Netherlands,NLD,2016,4472922000.0,1.603
Germany,DEU,2016,5899592000.0,2.114
Australia,AUS,2016,2947427000.0,1.056
Indonesia,IDN,2016,2747380000.0,0.985
Philippines,PHL,2016,8647010000.0,3.099
United Kingdom,GBR,2016,3642804000.0,1.306
Ireland,IRE,2016,255283000.0,0.091
Canada,CAN,2016,2041857000.0,0.732
Area Nes,ARE,2016,925150000.0,0.332
Italy,ITA,2016,1863560000.0,0.668
Poland,POL,2016,780628000.0,0.28
Belgium,BEL,2016,1139322000.0,0.408
France,FRA,2016,1551452000.0,0.556
Czech Republic,CZE,2016,405145000.0,0.145
United Arab Emirates,ARE,2016,1267088000.0,0.454
Israel,ISR,2016,629486000.0,0.226
Spain,ESP,2016,876868000.0,0.314
Finland,FIN,2016,264593000.0,0.095
Türkiye,TÜR,2016,1212609000.0,0.435
Brazil,BRA,2016,954543000.0,0.342
Bangladesh,BAN,2016,920025000.0,0.33
Saudi Arabia,SAU,2016,1230797000.0,0.441
Hungary,HUN,2016,523389000.0,0.188
Sweden,SWE,2016,579800000.0,0.208
Cambodia,CAM,2016,650641000.0,0.233
Switzerland,CHE,2016,455842000.0,0.163
Portugal,POR,2016,270191000.0,0.097
Austria,AUT,2016,322291000.0,0.116
South Africa,ZAF,2016,585990000.0,0.21
New Zealand,NEW,2016,425479000.0,0.152
Russian Federation,RUS,2016,865875000.0,0.31
Denmark,DNK,2016,324050000.0,0.116
Romania,ROM,2016,156260000.0,0.056
Pakistan,PAK,2016,452746000.0,0.162
Egypt,EGY,2016,443114000.0,0.159
Sri Lanka,SRI,2016,407131000.0,0.146
Iceland,ICE,2016,6081000.0,0.002
Oman,OMA,2016,142406000.0,0.051
Marshall Islands,MAR,2016,12022000.0,0.004
Colombia,COL,2016,353981000.0,0.127
Guatemala,GUA,2016,111266000.0,0.04
Argentina,ARG,2016,253591000.0,0.091
Norway,NOR,2016,167886000.0,0.06
Greece,GRE,2016,131545000.0,0.047
Peru,PER,2016,236714000.0,0.085
Jordan,JOR,2016,322460000.0,0.116
Chile,CHI,2016,249619000.0,0.089
Bulgaria,BUL,2016,114922000.0,0.041
Malta,MAL,2016,27129000.0,0.01
Kuwait,KUW,2016,166350000.0,0.06
Slovakia,SLO,2016,361628000.0,0.13
Slovenia,SLO,2016,155121000.0,0.056
Costa Rica,COS,2016,84199000.0,0.03
Dominican Republic,DOM,2016,106566000.0,0.038
Ecuador,ECU,2016,118547000.0,0.042
"Macao, China",MAC,2016,129806000.0,0.047
Lithuania,LIT,2016,113575000.0,0.041
Myanmar,MYA,2016,212358000.0,0.076
Algeria,ALG,2016,75401000.0,0.027
Ukraine,UKR,2016,108570000.0,0.039
Nigeria,NIG,2016,101914000.0,0.037
Morocco,MOR,2016,60101000.0,0.022
Kenya,KEN,2016,102928000.0,0.037
Panama,PAN,2016,133076000.0,0.048
Latvia,LAT,2016,107373000.0,0.038
Qatar,QAT,2016,74097000.0,0.027
El Salvador,EL ,2016,108266000.0,0.039
Kazakhstan,KAZ,2016,28355000.0,0.01
Iraq,IRA,2016,37372000.0,0.013
Honduras,HON,2016,78787000.0,0.028
Mauritius,MAU,2016,135635000.0,0.049
Lebanon,LEB,2016,82324000.0,0.03
Estonia,EST,2016,90632000.0,0.032
Croatia,CRO,2016,37425000.0,0.013
Lao People's Democratic Republic,LAO,2016,3861000.0,0.001
Timor-Leste,TIM,2016,705000.0,0.0
Uruguay,URU,2016,52145000.0,0.019
Paraguay,PAR,2016,27141000.0,0.01
Luxembourg,LUX,2016,17796000.0,0.006
"Iran, Islamic Republic of",IRA,2016,648821000.0,0.233
Papua New Guinea,PAP,2016,134789000.0,0.048
Fiji,FIJ,2016,41709000.0,0.015
United States Minor Outlying Islands,UNI,2016,52329000.0,0.019
Bahrain,BAH,2016,59280000.0,0.021
Tunisia,TUN,2016,45302000.0,0.016
Ghana,GHA,2016,28989000.0,0.01
American Samoa,AME,2016,0.0,0.0
Côte d'Ivoire,CÔT,2016,23091000.0,0.008
Serbia,SER,2016,15221000.0,0.005
"Tanzania, United Republic of",TAN,2016,29524000.0,0.011
Solomon Islands,SOL,2016,10224000.0,0.004
Trinidad and Tobago,TRI,2016,32219000.0,0.012
Haiti,HAI,2016,23663000.0,0.008
Georgia,GEO,2016,10292000.0,0.004
"Micronesia, Federated States of",MIC,2016,24305000.0,0.009
"Libya, State of",LIB,2016,12734000.0,0.005
Madagascar,MAD,2016,16691000.0,0.006
Cyprus,CYP,2016,22650000.0,0.008
Ethiopia,ETH,2016,23653000.0,0.008
Uzbekistan,UZB,2016,7900000.0,0.003
Nicaragua,NIC,2016,23072000.0,0.008
Brunei Darussalam,BRU,2016,13759000.0,0.005
Palau,PAL,2016,14225000.0,0.005
Guinea,GUI,2016,9609000.0,0.003
