Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
1,Animal Products,0101,Horses,2022,10.0,0.000
1,Animal Products,0103,Pigs,2022,1191554.0,0.000
1,Animal Products,0105,Poultry,2022,4718.0,0.000
1,Animal Products,0106,Other Animals,2022,6874316.0,0.001
1,Animal Products,0201,Bovine Meat,2022,490475.0,0.000
1,Animal Products,0202,Frozen Bovine Meat,2022,1398797.0,0.000
1,Animal Products,0203,Pig Meat,2022,394287.0,0.000
1,Animal Products,0204,Sheep and Goat Meat,2022,17041.0,0.000
1,Animal Products,0206,Edible Offal,2022,4289098.0,0.001
1,Animal Products,0207,Poultry Meat,2022,1475775.0,0.000
1,Animal Products,0208,Other Meat,2022,65567.0,0.000
1,Animal Products,0209,Animal Fat,2022,29.0,0.000
1,Animal Products,0210,Preserved Meat,2022,841758.0,0.000
1,Animal Products,0301,Live Fish,2022,114074242.0,0.021
1,Animal Products,0302,Non-fillet Fresh Fish,2022,41975139.0,0.008
1,Animal Products,0303,Non-fillet Frozen Fish,2022,1190938966.0,0.216
1,Animal Products,0304,Fish Fillets,2022,183142875.0,0.033
1,Animal Products,0305,Dried/Salted/Smoked/Brined Fish,2022,8582180.0,0.002
1,Animal Products,0306,Crustaceans,2022,25563845.0,0.005
1,Animal Products,0307,Molluscs,2022,147587277.0,0.027
1,Animal Products,0308,"Aquatic invertebrates, other than crustaceans and molluscs",2022,16774723.0,0.003
1,Animal Products,0401,Milk,2022,70324.0,0.000
1,Animal Products,0402,Concentrated Milk,2022,10895434.0,0.002
1,Animal Products,0403,Fermented Milk Products,2022,1867040.0,0.000
1,Animal Products,0404,Whey and other milk products,2022,146783.0,0.000
1,Animal Products,0405,Butter,2022,139997.0,0.000
1,Animal Products,0406,Cheese,2022,2688105.0,0.000
1,Animal Products,0407,Eggs,2022,5577311.0,0.001
1,Animal Products,0408,Processed Egg Products,2022,4905706.0,0.001
1,Animal Products,0409,Honey,2022,6399421.0,0.001
1,Animal Products,0410,Other Edible Animal Products,2022,4107323.0,0.001
1,Animal Products,0501,Human Hair,2022,15770.0,0.000
1,Animal Products,0502,Pig Hair,2022,28983.0,0.000
1,Animal Products,0504,Animal Organs,2022,238496.0,0.000
1,Animal Products,0505,Bird Feathers and Skins,2022,181436601.0,0.033
1,Animal Products,0506,Processed Bones,2022,1724343.0,0.000
1,Animal Products,0507,Raw Bones,2022,443835.0,0.000
1,Animal Products,0508,Coral and Shells,2022,2212086.0,0.000
1,Animal Products,0510,Pharmaceutical Animal Products,2022,42321.0,0.000
1,Animal Products,0511,Other Inedible Animal Products,2022,6645327.0,0.001
2,Vegetable Products,0601,Bulbs and Roots,2022,16383163.0,0.003
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2022,202982001.0,0.037
2,Vegetable Products,0603,Cut Flowers,2022,41999540.0,0.008
2,Vegetable Products,0604,Plant foliage,2022,527878.0,0.000
2,Vegetable Products,0701,Potatoes,2022,41824.0,0.000
2,Vegetable Products,0702,Tomatoes,2022,307128.0,0.000
2,Vegetable Products,0703,Onions,2022,1114836.0,0.000
2,Vegetable Products,0704,Cabbages,2022,695324.0,0.000
2,Vegetable Products,0705,Lettuce,2022,6563163.0,0.001
2,Vegetable Products,0706,Root Vegetables,2022,3612070.0,0.001
2,Vegetable Products,0707,Cucumbers,2022,65925.0,0.000
2,Vegetable Products,0708,Legumes,2022,650134.0,0.000
2,Vegetable Products,0709,Other Vegetables,2022,4939186.0,0.001
2,Vegetable Products,0710,Frozen Vegetables,2022,79062845.0,0.014
2,Vegetable Products,0711,Preserved Vegetables,2022,893995.0,0.000
2,Vegetable Products,0712,Dried Vegetables,2022,4158043.0,0.001
2,Vegetable Products,0713,Dried Legumes,2022,2231198.0,0.000
2,Vegetable Products,0714,Cassava,2022,5347873.0,0.001
2,Vegetable Products,0801,"Coconuts, Brazil Nuts, and Cashews",2022,398405.0,0.000
2,Vegetable Products,0802,Other Nuts,2022,981546.0,0.000
2,Vegetable Products,0803,Bananas,2022,2908552.0,0.001
2,Vegetable Products,0804,Tropical Fruits,2022,43733559.0,0.008
2,Vegetable Products,0805,Citrus,2022,12876733.0,0.002
2,Vegetable Products,0806,Grapes,2022,1509519.0,0.000
2,Vegetable Products,0807,Melons,2022,1333973.0,0.000
2,Vegetable Products,0808,Apples and Pears,2022,1762592.0,0.000
2,Vegetable Products,0809,Pitted Fruits,2022,1350723.0,0.000
2,Vegetable Products,0810,Other Fruits,2022,15399206.0,0.003
2,Vegetable Products,0811,Frozen Fruits and Nuts,2022,1638137.0,0.000
2,Vegetable Products,0812,Preserved Fruits and Nuts,2022,1024375.0,0.000
2,Vegetable Products,0813,Dried Fruits,2022,1460520.0,0.000
2,Vegetable Products,0814,Citrus and Melon Peels,2022,4056.0,0.000
2,Vegetable Products,0901,Coffee,2022,12947390.0,0.002
2,Vegetable Products,0902,Tea,2022,103830320.0,0.019
2,Vegetable Products,0903,Mate,2022,24778.0,0.000
2,Vegetable Products,0904,Pepper,2022,2896277.0,0.001
2,Vegetable Products,0905,Vanilla,2022,38493.0,0.000
2,Vegetable Products,0906,Cinnamon,2022,79022.0,0.000
2,Vegetable Products,0907,Cloves,2022,26358.0,0.000
2,Vegetable Products,0908,"Nutmeg, mace and cardamons",2022,1829.0,0.000
2,Vegetable Products,0909,Spice Seeds,2022,88338.0,0.000
2,Vegetable Products,0910,Spices,2022,7920121.0,0.001
2,Vegetable Products,1001,Wheat,2022,65491.0,0.000
2,Vegetable Products,1002,Rye,2022,504.0,0.000
2,Vegetable Products,1003,Barley,2022,786075.0,0.000
2,Vegetable Products,1004,Oats,2022,37966.0,0.000
2,Vegetable Products,1005,Corn,2022,1292018.0,0.000
2,Vegetable Products,1006,Rice,2022,95715524.0,0.017
2,Vegetable Products,1008,Buckwheat,2022,886567.0,0.000
