Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
0,Electrical Machinery and Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2015,116098994000.0,41.472
0,Machinery,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2015,28974510000.0,10.35
0,Plastics and articles thereof,39,Plastics and articles thereof,2015,18491837000.0,6.606
0,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2015,11556767000.0,4.128
0,"Optical, photo, medical apparatus",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",2015,17761092000.0,6.345
0,Vehicles other than railway,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2015,10205463000.0,3.646
0,Base metals and articles thereof,72,Iron and steel,2015,7949005000.0,2.84
0,Base metals and articles thereof,73,Articles of iron or steel,2015,7217082000.0,2.578
0,Chemical products,29,Organic chemicals,2015,8567544000.0,3.06
0,Base metals and articles thereof,74,Copper and articles thereof,2015,3380644000.0,1.208
0,Chemical products,38,Miscellaneous chemical products,2015,3570126000.0,1.275
0,Base metals and articles thereof,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2015,2666963000.0,0.953
0,Precious metals,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2015,2254745000.0,0.805
0,Plastics and articles thereof,40,Rubber and articles thereof,2015,2470258000.0,0.882
0,Miscellaneous manufactured articles,95,"Toys, games and sports requisites; parts and accessories thereof",2015,2111236000.0,0.754
0,Textile and articles thereof,54,Man-made filaments; strip and the like of man-made textile materials,2015,2944583000.0,1.052
0,Base metals and articles thereof,76,Aluminium and articles thereof,2015,1471272000.0,0.526
0,Base metals and articles thereof,83,Miscellaneous articles of base metal,2015,1647850000.0,0.589
0,Chemical products,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2015,1533147000.0,0.548
0,Textile and articles thereof,60,Knitted or crocheted fabrics,2015,2801998000.0,1.001
0,Works of art,99,Commodities not elsewhere specified,2015,1664909000.0,0.595
0,"Articles of stone, plaster, cement",70,Glass and glassware,2015,1933226000.0,0.691
0,Miscellaneous manufactured articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2015,2006351000.0,0.717
0,Chemical products,30,Pharmaceutical products,2015,419884000.0,0.15
0,Animal Products,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2015,1514253000.0,0.541
0,Mineral Products,26,"Ores, slag and ash",2015,72282000.0,0.026
0,Wood and articles thereof,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",2015,1392952000.0,0.498
