Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
0,Electrical Machinery and Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2013,113975223000.0,37.421
0,Machinery,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2013,29440930000.0,9.666
0,Plastics and articles thereof,39,Plastics and articles thereof,2013,21897100000.0,7.189
0,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2013,23087076000.0,7.58
0,"Optical, photo, medical apparatus",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",2013,22202897000.0,7.29
0,Vehicles other than railway,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2013,9768829000.0,3.207
0,Base metals and articles thereof,72,Iron and steel,2013,10079930000.0,3.31
0,Base metals and articles thereof,73,Articles of iron or steel,2013,7230081000.0,2.374
0,Chemical products,29,Organic chemicals,2013,12064079000.0,3.961
0,Base metals and articles thereof,74,Copper and articles thereof,2013,3717151000.0,1.22
0,Chemical products,38,Miscellaneous chemical products,2013,3449896000.0,1.133
0,Base metals and articles thereof,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2013,2637574000.0,0.866
0,Precious metals,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2013,2239215000.0,0.735
0,Plastics and articles thereof,40,Rubber and articles thereof,2013,2823850000.0,0.927
0,Miscellaneous manufactured articles,95,"Toys, games and sports requisites; parts and accessories thereof",2013,2135218000.0,0.701
0,Textile and articles thereof,54,Man-made filaments; strip and the like of man-made textile materials,2013,3388215000.0,1.112
0,Base metals and articles thereof,76,Aluminium and articles thereof,2013,1463519000.0,0.481
0,Base metals and articles thereof,83,Miscellaneous articles of base metal,2013,1593469000.0,0.523
0,Chemical products,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2013,1590621000.0,0.522
0,Textile and articles thereof,60,Knitted or crocheted fabrics,2013,2619416000.0,0.86
0,Works of art,99,Commodities not elsewhere specified,2013,1538009000.0,0.505
0,"Articles of stone, plaster, cement",70,Glass and glassware,2013,2255883000.0,0.741
0,Miscellaneous manufactured articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2013,1898472000.0,0.623
0,Chemical products,30,Pharmaceutical products,2013,391896000.0,0.129
0,Animal Products,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2013,1683498000.0,0.553
0,Mineral Products,26,"Ores, slag and ash",2013,152585000.0,0.05
