Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
1,Animal Products,0101,Horses,2019,1977.0,0.000
1,Animal Products,0103,Pigs,2019,1015982.0,0.000
1,Animal Products,0106,Other Animals,2019,8301340.0,0.002
1,Animal Products,0201,Bovine Meat,2019,117385.0,0.000
1,Animal Products,0202,Frozen Bovine Meat,2019,2050018.0,0.001
1,Animal Products,0203,Pig Meat,2019,270720.0,0.000
1,Animal Products,0204,Sheep and Goat Meat,2019,2675.0,0.000
1,Animal Products,0206,Edible Offal,2019,277766.0,0.000
1,Animal Products,0207,Poultry Meat,2019,3630235.0,0.001
1,Animal Products,0208,Other Meat,2019,437317.0,0.000
1,Animal Products,0209,Animal Fat,2019,9.0,0.000
1,Animal Products,0210,Preserved Meat,2019,1121293.0,0.000
1,Animal Products,0301,Live Fish,2019,155683427.0,0.042
1,Animal Products,0302,Non-fillet Fresh Fish,2019,102216803.0,0.027
1,Animal Products,0303,Non-fillet Frozen Fish,2019,1215715758.0,0.326
1,Animal Products,0304,Fish Fillets,2019,169839734.0,0.046
1,Animal Products,0305,Dried/Salted/Smoked/Brined Fish,2019,8455988.0,0.002
1,Animal Products,0306,Crustaceans,2019,32397811.0,0.009
1,Animal Products,0307,Molluscs,2019,142086894.0,0.038
1,Animal Products,0308,"Aquatic invertebrates, other than crustaceans and molluscs",2019,2877014.0,0.001
1,Animal Products,0401,Milk,2019,155785.0,0.000
1,Animal Products,0402,Concentrated Milk,2019,10114432.0,0.003
1,Animal Products,0403,Fermented Milk Products,2019,8623157.0,0.002
1,Animal Products,0404,Whey and other milk products,2019,164178.0,0.000
1,Animal Products,0405,Butter,2019,138936.0,0.000
1,Animal Products,0406,Cheese,2019,3022050.0,0.001
1,Animal Products,0407,Eggs,2019,5131778.0,0.001
1,Animal Products,0408,Processed Egg Products,2019,5126830.0,0.001
1,Animal Products,0409,Honey,2019,4919665.0,0.001
1,Animal Products,0410,Other Edible Animal Products,2019,4321044.0,0.001
1,Animal Products,0502,Pig Hair,2019,97044.0,0.000
1,Animal Products,0504,Animal Organs,2019,20675.0,0.000
1,Animal Products,0505,Bird Feathers and Skins,2019,237655976.0,0.064
1,Animal Products,0506,Processed Bones,2019,406382.0,0.000
1,Animal Products,0507,Raw Bones,2019,871629.0,0.000
1,Animal Products,0508,Coral and Shells,2019,6300718.0,0.002
1,Animal Products,0510,Pharmaceutical Animal Products,2019,973989.0,0.000
1,Animal Products,0511,Other Inedible Animal Products,2019,16387477.0,0.004
2,Vegetable Products,0601,Bulbs and Roots,2019,20107878.0,0.005
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2019,183981529.0,0.049
