Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
0,Electrical Machinery and Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2025,276111416000.0,43.128
0,Machinery,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2025,238639304000.0,37.275
0,Plastics and articles thereof,39,Plastics and articles thereof,2025,15640637000.0,2.443
0,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2025,12476072000.0,1.949
0,"Optical, photo, medical apparatus",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",2025,12408270000.0,1.938
0,Vehicles other than railway,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2025,9510640000.0,1.486
0,Base metals and articles thereof,72,Iron and steel,2025,7413415000.0,1.158
0,Base metals and articles thereof,73,Articles of iron or steel,2025,7285096000.0,1.138
0,Chemical products,29,Organic chemicals,2025,6904331000.0,1.078
0,Base metals and articles thereof,74,Copper and articles thereof,2025,5561027000.0,0.869
0,Chemical products,38,Miscellaneous chemical products,2025,3724638000.0,0.582
0,Base metals and articles thereof,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2025,2813059000.0,0.439
0,Precious metals,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2025,2794047000.0,0.436
0,Plastics and articles thereof,40,Rubber and articles thereof,2025,2376444000.0,0.371
0,Miscellaneous manufactured articles,95,"Toys, games and sports requisites; parts and accessories thereof",2025,2157261000.0,0.337
0,Textile and articles thereof,54,Man-made filaments; strip and the like of man-made textile materials,2025,1892740000.0,0.296
0,Base metals and articles thereof,76,Aluminium and articles thereof,2025,1815938000.0,0.284
0,Base metals and articles thereof,83,Miscellaneous articles of base metal,2025,1786288000.0,0.279
0,Chemical products,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2025,1774923000.0,0.277
0,Textile and articles thereof,60,Knitted or crocheted fabrics,2025,1752063000.0,0.274
0,Works of art,99,Commodities not elsewhere specified,2025,1649912000.0,0.258
0,"Articles of stone, plaster, cement",70,Glass and glassware,2025,1621903000.0,0.253
0,Miscellaneous manufactured articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2025,1565229000.0,0.244
0,Chemical products,30,Pharmaceutical products,2025,1363331000.0,0.213
0,Animal Products,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2025,1341386000.0,0.21
0,Mineral Products,26,"Ores, slag and ash",2025,1303511000.0,0.204
0,Wood and articles thereof,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",2025,1263772000.0,0.197
