Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
0,Electrical Machinery and Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2010,103318436000.0,37.63
0,Machinery,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2010,27922979000.0,10.17
0,Plastics and articles thereof,39,Plastics and articles thereof,2010,19643138000.0,7.154
0,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2010,14405355000.0,5.247
0,"Optical, photo, medical apparatus",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",2010,23351702000.0,8.505
0,Vehicles other than railway,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2010,7874417000.0,2.868
0,Base metals and articles thereof,72,Iron and steel,2010,10066044000.0,3.666
0,Base metals and articles thereof,73,Articles of iron or steel,2010,6307768000.0,2.297
0,Chemical products,29,Organic chemicals,2010,11250100000.0,4.097
0,Base metals and articles thereof,74,Copper and articles thereof,2010,3859623000.0,1.406
0,Chemical products,38,Miscellaneous chemical products,2010,3188103000.0,1.161
0,Base metals and articles thereof,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2010,2175074000.0,0.792
0,Precious metals,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2010,3098823000.0,1.129
0,Plastics and articles thereof,40,Rubber and articles thereof,2010,2601165000.0,0.947
0,Miscellaneous manufactured articles,95,"Toys, games and sports requisites; parts and accessories thereof",2010,1895161000.0,0.69
0,Textile and articles thereof,54,Man-made filaments; strip and the like of man-made textile materials,2010,3496076000.0,1.273
0,Base metals and articles thereof,76,Aluminium and articles thereof,2010,1390789000.0,0.507
0,Base metals and articles thereof,83,Miscellaneous articles of base metal,2010,1292927000.0,0.471
0,Chemical products,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2010,1274436000.0,0.464
0,Textile and articles thereof,60,Knitted or crocheted fabrics,2010,2066511000.0,0.753
0,Works of art,99,Commodities not elsewhere specified,2010,1192425000.0,0.434
0,"Articles of stone, plaster, cement",70,Glass and glassware,2010,1596795000.0,0.582
0,Miscellaneous manufactured articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2010,1632213000.0,0.594
0,Chemical products,30,Pharmaceutical products,2010,226023000.0,0.082
0,Animal Products,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2010,1346154000.0,0.49
0,Mineral Products,26,"Ores, slag and ash",2010,95694000.0,0.035
0,Wood and articles thereof,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",2010,1528519000.0,0.557
0,Chemical products,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",2010,1554569000.0,0.566
0,Chemical products,37,Photographic or cinematographic goods,2010,348406000.0,0.127
0,Foodstuffs,21,Miscellaneous edible preparations,2010,269413000.0,0.098
0,Textile and articles thereof,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",2010,1364564000.0,0.497
0,Chemical products,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ‘dental waxes’ and dental preparations with a basis of plaster",2010,410777000.0,0.15
0,Vehicles other than railway,88,"Aircraft, spacecraft, and parts thereof",2010,329958000.0,0.12
0,Chemical products,35,Albuminoidal substances; modified starches; glues; enzymes,2010,530801000.0,0.193
0,Chemical products,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2010,359917000.0,0.131
0,Miscellaneous manufactured articles,96,Miscellaneous manufactured articles,2010,631204000.0,0.23
