Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
1,Animal Products,0101,Horses,2020,56.0,0.000
1,Animal Products,0102,Bovine,2020,136.0,0.000
1,Animal Products,0103,Pigs,2020,1190895.0,0.000
1,Animal Products,0106,Other Animals,2020,6604580.0,0.002
1,Animal Products,0201,Bovine Meat,2020,143995.0,0.000
1,Animal Products,0202,Frozen Bovine Meat,2020,1396030.0,0.000
1,Animal Products,0203,Pig Meat,2020,4350766.0,0.001
1,Animal Products,0204,Sheep and Goat Meat,2020,7248.0,0.000
1,Animal Products,0206,Edible Offal,2020,3895137.0,0.001
1,Animal Products,0207,Poultry Meat,2020,2626060.0,0.001
1,Animal Products,0208,Other Meat,2020,295811.0,0.000
1,Animal Products,0210,Preserved Meat,2020,1360992.0,0.000
1,Animal Products,0301,Live Fish,2020,78251303.0,0.020
1,Animal Products,0302,Non-fillet Fresh Fish,2020,62281251.0,0.016
1,Animal Products,0303,Non-fillet Frozen Fish,2020,1051135564.0,0.264
1,Animal Products,0304,Fish Fillets,2020,154143647.0,0.039
1,Animal Products,0305,Dried/Salted/Smoked/Brined Fish,2020,6992132.0,0.002
1,Animal Products,0306,Crustaceans,2020,38124411.0,0.010
1,Animal Products,0307,Molluscs,2020,66155411.0,0.017
1,Animal Products,0308,"Aquatic invertebrates, other than crustaceans and molluscs",2020,17722958.0,0.004
1,Animal Products,0401,Milk,2020,93115.0,0.000
1,Animal Products,0402,Concentrated Milk,2020,9620626.0,0.002
1,Animal Products,0403,Fermented Milk Products,2020,10418310.0,0.003
1,Animal Products,0404,Whey and other milk products,2020,62871.0,0.000
1,Animal Products,0405,Butter,2020,174338.0,0.000
1,Animal Products,0406,Cheese,2020,2988264.0,0.001
1,Animal Products,0407,Eggs,2020,5761479.0,0.001
1,Animal Products,0408,Processed Egg Products,2020,5640487.0,0.001
1,Animal Products,0409,Honey,2020,3583384.0,0.001
1,Animal Products,0410,Other Edible Animal Products,2020,3193463.0,0.001
1,Animal Products,0501,Human Hair,2020,2683.0,0.000
1,Animal Products,0502,Pig Hair,2020,58738.0,0.000
1,Animal Products,0504,Animal Organs,2020,140421.0,0.000
1,Animal Products,0505,Bird Feathers and Skins,2020,157813762.0,0.040
1,Animal Products,0506,Processed Bones,2020,206033.0,0.000
1,Animal Products,0507,Raw Bones,2020,370404.0,0.000
1,Animal Products,0508,Coral and Shells,2020,976383.0,0.000
1,Animal Products,0510,Pharmaceutical Animal Products,2020,129038.0,0.000
1,Animal Products,0511,Other Inedible Animal Products,2020,12994289.0,0.003
2,Vegetable Products,0601,Bulbs and Roots,2020,20722483.0,0.005
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2020,164064181.0,0.041
2,Vegetable Products,0603,Cut Flowers,2020,38085847.0,0.010
2,Vegetable Products,0604,Plant foliage,2020,535955.0,0.000
2,Vegetable Products,0701,Potatoes,2020,189752.0,0.000
2,Vegetable Products,0702,Tomatoes,2020,296434.0,0.000
2,Vegetable Products,0703,Onions,2020,1862124.0,0.000
2,Vegetable Products,0704,Cabbages,2020,931643.0,0.000
2,Vegetable Products,0705,Lettuce,2020,6666517.0,0.002
2,Vegetable Products,0706,Root Vegetables,2020,3117617.0,0.001
2,Vegetable Products,0707,Cucumbers,2020,28581.0,0.000
2,Vegetable Products,0708,Legumes,2020,1237624.0,0.000
2,Vegetable Products,0709,Other Vegetables,2020,5265712.0,0.001
2,Vegetable Products,0710,Frozen Vegetables,2020,81721218.0,0.020
2,Vegetable Products,0711,Preserved Vegetables,2020,1077563.0,0.000
2,Vegetable Products,0712,Dried Vegetables,2020,3820703.0,0.001
2,Vegetable Products,0713,Dried Legumes,2020,1882906.0,0.000
2,Vegetable Products,0714,Cassava,2020,4281905.0,0.001
2,Vegetable Products,0801,"Coconuts, Brazil Nuts, and Cashews",2020,368208.0,0.000
2,Vegetable Products,0802,Other Nuts,2020,1391114.0,0.000
2,Vegetable Products,0803,Bananas,2020,6168544.0,0.002
2,Vegetable Products,0804,Tropical Fruits,2020,92474673.0,0.023
2,Vegetable Products,0805,Citrus,2020,18141968.0,0.005
2,Vegetable Products,0806,Grapes,2020,3907277.0,0.001
2,Vegetable Products,0807,Melons,2020,1241563.0,0.000
2,Vegetable Products,0808,Apples and Pears,2020,1357940.0,0.000
2,Vegetable Products,0809,Pitted Fruits,2020,289603.0,0.000
2,Vegetable Products,0810,Other Fruits,2020,71740095.0,0.018
2,Vegetable Products,0811,Frozen Fruits and Nuts,2020,948894.0,0.000
2,Vegetable Products,0812,Preserved Fruits and Nuts,2020,1212644.0,0.000
2,Vegetable Products,0813,Dried Fruits,2020,818064.0,0.000
2,Vegetable Products,0814,Citrus and Melon Peels,2020,2101.0,0.000
2,Vegetable Products,0901,Coffee,2020,11792615.0,0.003
2,Vegetable Products,0902,Tea,2020,97911452.0,0.025
2,Vegetable Products,0903,Mate,2020,64912.0,0.000
2,Vegetable Products,0904,Pepper,2020,2258491.0,0.001
2,Vegetable Products,0905,Vanilla,2020,121748.0,0.000
2,Vegetable Products,0906,Cinnamon,2020,19644.0,0.000
2,Vegetable Products,0907,Cloves,2020,7042.0,0.000
2,Vegetable Products,0908,"Nutmeg, mace and cardamons",2020,18659.0,0.000
2,Vegetable Products,0909,Spice Seeds,2020,103108.0,0.000
2,Vegetable Products,0910,Spices,2020,11378819.0,0.003
2,Vegetable Products,1001,Wheat,2020,31749.0,0.000
2,Vegetable Products,1002,Rye,2020,526.0,0.000
2,Vegetable Products,1003,Barley,2020,72583.0,0.000
2,Vegetable Products,1004,Oats,2020,86850.0,0.000
2,Vegetable Products,1005,Corn,2020,2493178.0,0.001
2,Vegetable Products,1006,Rice,2020,114709952.0,0.029
2,Vegetable Products,1007,Sorghum,2020,448667.0,0.000
2,Vegetable Products,1008,Buckwheat,2020,798945.0,0.000
2,Vegetable Products,1101,Wheat Flours,2020,18212684.0,0.005
2,Vegetable Products,1102,Cereal Flours,2020,2465916.0,0.001
2,Vegetable Products,1103,Cereal Meal and Pellets,2020,238534.0,0.000
2,Vegetable Products,1104,Processed Cereals,2020,2392774.0,0.001
2,Vegetable Products,1105,Potato Flours,2020,823644.0,0.000
2,Vegetable Products,1106,Legume Flours,2020,9298360.0,0.002
2,Vegetable Products,1107,Malt,2020,2339.0,0.000
2,Vegetable Products,1108,Starches,2020,6449191.0,0.002
