Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
0,Electrical Machinery and Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2007,89237710000.0,36.293
0,Machinery,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2007,28449310000.0,11.57
0,Plastics and articles thereof,39,Plastics and articles thereof,2007,16642556000.0,6.768
0,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2007,13687810000.0,5.567
0,"Optical, photo, medical apparatus",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",2007,19498563000.0,7.93
0,Vehicles other than railway,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2007,6781676000.0,2.758
0,Base metals and articles thereof,72,Iron and steel,2007,11040926000.0,4.49
0,Base metals and articles thereof,73,Articles of iron or steel,2007,6293972000.0,2.56
0,Chemical products,29,Organic chemicals,2007,8882509000.0,3.612
0,Base metals and articles thereof,74,Copper and articles thereof,2007,4523237000.0,1.84
0,Chemical products,38,Miscellaneous chemical products,2007,2148988000.0,0.874
0,Base metals and articles thereof,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2007,2081722000.0,0.847
0,Precious metals,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2007,1268162000.0,0.516
0,Plastics and articles thereof,40,Rubber and articles thereof,2007,2222257000.0,0.904
0,Miscellaneous manufactured articles,95,"Toys, games and sports requisites; parts and accessories thereof",2007,1845980000.0,0.751
0,Textile and articles thereof,54,Man-made filaments; strip and the like of man-made textile materials,2007,3572748000.0,1.453
0,Base metals and articles thereof,76,Aluminium and articles thereof,2007,1502470000.0,0.611
0,Base metals and articles thereof,83,Miscellaneous articles of base metal,2007,1299927000.0,0.529
0,Chemical products,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2007,1050106000.0,0.427
0,Textile and articles thereof,60,Knitted or crocheted fabrics,2007,2023796000.0,0.823
0,Works of art,99,Commodities not elsewhere specified,2007,961561000.0,0.391
0,"Articles of stone, plaster, cement",70,Glass and glassware,2007,1113697000.0,0.453
0,Miscellaneous manufactured articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2007,1604155000.0,0.652
0,Chemical products,30,Pharmaceutical products,2007,217918000.0,0.089
0,Animal Products,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2007,1116593000.0,0.454
0,Mineral Products,26,"Ores, slag and ash",2007,53016000.0,0.022
0,Wood and articles thereof,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",2007,1385201000.0,0.563
0,Chemical products,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",2007,1213613000.0,0.494
0,Chemical products,37,Photographic or cinematographic goods,2007,291312000.0,0.118
0,Foodstuffs,21,Miscellaneous edible preparations,2007,175845000.0,0.072
0,Textile and articles thereof,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",2007,1331246000.0,0.541
0,Chemical products,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ‘dental waxes’ and dental preparations with a basis of plaster",2007,333086000.0,0.135
0,Vehicles other than railway,88,"Aircraft, spacecraft, and parts thereof",2007,284291000.0,0.116
0,Chemical products,35,Albuminoidal substances; modified starches; glues; enzymes,2007,383454000.0,0.156
0,Chemical products,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2007,231277000.0,0.094
0,Miscellaneous manufactured articles,96,Miscellaneous manufactured articles,2007,596492000.0,0.243
0,Foodstuffs,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",2007,89779000.0,0.037
0,Base metals and articles thereof,81,Other base metals; cermets; articles thereof,2007,251890000.0,0.102
0,Textile and articles thereof,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",2007,422439000.0,0.172
0,Base metals and articles thereof,75,Nickel and articles thereof,2007,234238000.0,0.095
0,Textile and articles thereof,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,2007,573723000.0,0.233
0,Textile and articles thereof,55,Man-made staple fibres,2007,1664093000.0,0.677
0,Foodstuffs,22,"Beverages, spirits and vinegar",2007,79020000.0,0.032
0,"Articles of stone, plaster, cement",68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",2007,258059000.0,0.105
0,Vehicles other than railway,89,"Ships, boats and floating structures",2007,917420000.0,0.373
0,Textile and articles thereof,63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,2007,225393000.0,0.092
0,Wood and articles thereof,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2007,129482000.0,0.053
0,Foodstuffs,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",2007,25251000.0,0.01
0,Raw hides and skins,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",2007,125087000.0,0.051
0,Base metals and articles thereof,80,Tin and articles thereof,2007,181864000.0,0.074
0,Footwear and headgear,64,"Footwear, gaiters and the like; parts of such articles",2007,328281000.0,0.134
0,Vegetable Products,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",2007,108129000.0,0.044
0,Textile and articles thereof,61,"Articles of apparel and clothing accessories, knitted or crocheted",2007,707068000.0,0.288
0,Arms and ammunition,93,Arms and ammunition; parts and accessories thereof,2007,23250000.0,0.009
0,Chemical products,31,Fertilisers,2007,57798000.0,0.024
0,"Articles of stone, plaster, cement",69,Ceramic products,2007,69308000.0,0.028
0,Base metals and articles thereof,78,Lead and articles thereof,2007,95432000.0,0.039
0,Animal Products,05,"Products of animal origin, not elsewhere specified or included",2007,163997000.0,0.067
0,Raw hides and skins,41,Raw hides and skins (other than furskins) and leather,2007,830304000.0,0.338
0,Textile and articles thereof,62,"Articles of apparel and clothing accessories, not knitted or crocheted",2007,346279000.0,0.141
0,"Optical, photo, medical apparatus",92,Musical instruments; parts and accessories of such articles,2007,236721000.0,0.096
0,Mineral Products,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",2007,336614000.0,0.137
0,Foodstuffs,23,Residues and waste from the food industries; prepared animal fodder,2007,66689000.0,0.027
0,Wood and articles thereof,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,2007,31750000.0,0.013
0,Foodstuffs,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2007,72735000.0,0.03
0,Wood and articles thereof,44,Wood and articles of wood; wood charcoal,2007,269332000.0,0.11
0,Base metals and articles thereof,79,Zinc and articles thereof,2007,164906000.0,0.067
0,Vegetable Products,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",2007,67251000.0,0.027
0,Textile and articles thereof,52,Cotton,2007,598885000.0,0.244
